keyword,region,match_type,lb,ub,source,nn_keyword,nn_region,nn_match_type,nn_hist_min,nn_hist_max,cosine_sim,tier
advanced generative ai courses,a,broad match,0.24514457870413658,4.245904103155646,nearest_neighbor,generative ai courses,a,broad match,0.25,4.33,0.9805783148165463,same_region_and_match
advanced generative ai courses,b,broad match,0.12747518092615104,0.676599037223417,nearest_neighbor,generative ai courses,b,broad match,0.13,0.69,0.9805783148165463,same_region_and_match
advanced generative ai courses,c,broad match,0.10128595152326599,1.7955236860942607,nearest_neighbor,generative ai foundations course,c,broad match,0.11,1.95,0.9207813774842363,same_region_and_match
ai and generative ai course,usa,broad match,0.49705170122513004,4.356511969561434,nearest_neighbor,generative ai course,usa,broad match,0.51,4.47,0.974611178872804,same_region_and_match
ai and generative ai course,a,broad match,0.3118755772392973,2.845864642308588,nearest_neighbor,generative ai course,a,broad match,0.32,2.92,0.974611178872804,same_region_and_match
ai and generative ai course,b,broad match,0.13644556504219257,2.7776418597874915,nearest_neighbor,generative ai course,b,broad match,0.14,2.85,0.974611178872804,same_region_and_match
ai and generative ai course,c,broad match,0.10323753164097071,1.8301198790899353,nearest_neighbor,generative ai foundations course,c,broad match,0.11,1.95,0.9385230149179156,same_region_and_match
ai certificate,usa,broad match,1.033878004592416,25.243092165225452,nearest_neighbor,ai certificate programs,usa,broad match,1.13,27.59,0.9149362872499258,same_region_and_match
ai certificate,usa,phrase match,0.38451509212236695,4.15463867829777,nearest_neighbor,professional ai certificate,usa,phrase match,0.41,4.43,0.9378416881033341,same_region_and_match
ai certificate,a,broad match,0.29656139988703867,17.028867751408377,nearest_neighbor,generative ai certificate program,a,broad match,0.38,21.82,0.7804247365448386,same_region_and_match
ai certificate,b,broad match,0.023675515384946003,0.5050776615455148,nearest_neighbor,mit generative ai certificate,b,broad match,0.03,0.64,0.7891838461648668,same_region_and_match
ai certificate,c,broad match,0.09365096838538063,1.435981515242503,nearest_neighbor,generative ai certificate program,c,broad match,0.12,1.84,0.7804247365448386,same_region_and_match
ai certificate,c,exact match,0.23276670725395474,7.091071474557976,nearest_neighbor,ai certification mit,c,exact match,0.28,8.53,0.8313096687641239,same_region_and_match
ai certificate,c,phrase match,0.10724434655070893,0.8937028879225745,nearest_neighbor,ai related certifications,c,phrase match,0.12,1.0,0.8937028879225745,same_region_and_match
ai certificate course,usa,broad match,1.018263748845833,24.861855602350918,nearest_neighbor,ai certificate programs,usa,broad match,1.13,27.59,0.9011183618104718,same_region_and_match
ai certificate course,usa,phrase match,1.7159933518174744,23.467368541071405,nearest_neighbor,ai certification courses,usa,phrase match,1.85,25.3,0.9275639739553915,same_region_and_match
ai certificate course,a,broad match,0.2722505475123685,13.34905910383226,nearest_neighbor,generative ai certificate course,a,broad match,0.31,15.2,0.8782275726205435,same_region_and_match
ai certificate course,b,broad match,0.10538730871446522,5.4801400531521915,nearest_neighbor,generative ai certificate course,b,broad match,0.12,6.24,0.8782275726205435,same_region_and_match
ai certificate course,c,broad match,0.1229518601668761,2.5292954091471653,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.8782275726205435,same_region_and_match
ai certificate course,c,exact match,0.40812814854037227,0.40812814854037227,nearest_neighbor,ai certification courses,c,exact match,0.44,0.44,0.9275639739553915,same_region_and_match
ai certificate course,c,phrase match,0.19478843453063222,1.3356921224957636,nearest_neighbor,ai certification courses,c,phrase match,0.21,1.44,0.9275639739553915,same_region_and_match
ai certificate programs,usa,broad match,1.13,27.59,exact,ai certificate programs,usa,broad match,1.13,27.59,,
ai certificate programs,usa,phrase match,0.3582804244310506,3.8711762932428155,nearest_neighbor,professional ai certificate,usa,phrase match,0.41,4.43,0.8738546937342699,same_region_and_match
ai certificate programs,a,broad match,0.3219170458572668,18.484815633172534,nearest_neighbor,generative ai certificate program,a,broad match,0.38,21.82,0.847150120677018,same_region_and_match
ai certificate programs,a,phrase match,0.8651161467969273,2.708949550576237,nearest_neighbor,professional ai certificate,a,phrase match,0.99,3.1,0.8738546937342699,same_region_and_match
ai certificate programs,b,broad match,0.1270725181015527,4.184921596144469,nearest_neighbor,generative ai certificate program,b,broad match,0.15,4.94,0.847150120677018,same_region_and_match
ai certificate programs,b,phrase match,0.5068357223658765,0.786469224360843,nearest_neighbor,professional ai certificate,b,phrase match,0.58,0.9,0.8738546937342699,same_region_and_match
ai certificate programs,c,broad match,0.10165801448124216,1.5587562220457132,nearest_neighbor,generative ai certificate program,c,broad match,0.12,1.84,0.847150120677018,same_region_and_match
ai certificate programs,c,phrase match,0.10337845830638123,0.861487152553177,nearest_neighbor,ai related certifications,c,phrase match,0.12,1.0,0.861487152553177,same_region_and_match
ai certification,usa,broad match,1.1079013984084736,9.010931373722253,nearest_neighbor,best ai certification,usa,broad match,1.2,9.76,0.9232511653403948,same_region_and_match
ai certification,usa,phrase match,1.6627090965653353,17.859451825460603,nearest_neighbor,ai related certifications,usa,phrase match,1.7,18.26,0.9780641744501972,same_region_and_match
ai certification,c,broad match,0.10179549256360243,2.0940787041655353,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.7271106611685887,same_region_and_match
ai certification classes,usa,broad match,1.0460356072944306,8.50775627266137,nearest_neighbor,best ai certification,usa,broad match,1.2,9.76,0.8716963394120255,same_region_and_match
ai certification classes,usa,phrase match,1.91,5.79,exact,ai certification classes,usa,phrase match,1.91,5.79,,
ai certification classes,a,broad match,0.2425167959709532,11.891146125027381,nearest_neighbor,generative ai certificate course,a,broad match,0.31,15.2,0.7823122450675909,same_region_and_match
ai certification classes,b,broad match,0.4647881802435936,2.1075739897252608,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.8013589314544718,same_region_and_match
ai certification classes,c,broad match,0.10952371430946274,2.2530592657946618,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.7823122450675909,same_region_and_match
ai certification courses,usa,broad match,1.02928200995343,8.371493680954565,nearest_neighbor,best ai certification,usa,broad match,1.2,9.76,0.8577350082945251,same_region_and_match
ai certification courses,usa,exact match,1.29,18.35,exact,ai certification courses,usa,exact match,1.29,18.35,,
ai certification courses,usa,phrase match,1.85,25.3,exact,ai certification courses,usa,phrase match,1.85,25.3,,
ai certification courses,a,broad match,0.3889263827045722,11.163014686563146,nearest_neighbor,mit ai courses,a,broad match,0.47,13.49,0.8275029419246217,same_region_and_match
ai certification courses,a,phrase match,0.44,10.42,exact,ai certification courses,a,phrase match,0.44,10.42,,
ai certification courses,b,broad match,0.5044827249354984,2.287568218242001,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.8697978016129283,same_region_and_match
ai certification courses,b,phrase match,0.52,2.72,exact,ai certification courses,b,phrase match,0.52,2.72,,
ai certification courses,c,broad match,0.11103429728169241,2.284134115509101,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.79310212344066,same_region_and_match
ai certification courses,c,phrase match,0.21,1.44,exact,ai certification courses,c,phrase match,0.21,1.44,,
ai certification mit,usa,broad match,0.999600715913451,8.130085822762736,nearest_neighbor,best ai certification,usa,broad match,1.2,9.76,0.8330005965945425,same_region_and_match
ai certification mit,usa,phrase match,1.2,29.63,exact,ai certification mit,usa,phrase match,1.2,29.63,,
ai certification mit,a,broad match,0.3915920391031759,11.239524696812433,nearest_neighbor,mit ai courses,a,broad match,0.47,13.49,0.833174551283353,same_region_and_match
ai certification mit,b,broad match,0.02338853173469262,0.4989553436734426,nearest_neighbor,mit generative ai certificate,b,broad match,0.03,0.64,0.779617724489754,same_region_and_match
ai certification mit,c,broad match,0.1004219539306246,2.0658230522871346,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.7172996709330328,same_region_and_match
ai certification mit,c,exact match,0.28,8.53,exact,ai certification mit,c,exact match,0.28,8.53,,
ai certification mit,c,phrase match,1.78,1.78,exact,ai certification mit,c,phrase match,1.78,1.78,,
ai certifications mit,usa,broad match,1.023975282979534,8.328332301566878,nearest_neighbor,best ai certification,usa,broad match,1.2,9.76,0.8533127358162785,same_region_and_match
ai certifications mit,a,broad match,0.39063021613545396,11.211918331206967,nearest_neighbor,mit ai courses,a,broad match,0.47,13.49,0.8311281194371362,same_region_and_match
ai certifications mit,b,broad match,0.023218651709997862,0.4953312364799544,nearest_neighbor,mit generative ai certificate,b,broad match,0.03,0.64,0.7739550569999287,same_region_and_match
ai certifications mit,c,broad match,0.10230676242626724,2.1045962556260687,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.7307625887590516,same_region_and_match
ai class,usa,broad match,1.78,9.74,exact,ai class,usa,broad match,1.78,9.74,,
ai class,usa,exact match,0.938829214075456,40.74002002364134,nearest_neighbor,mit ai class,usa,exact match,1.09,47.3,0.8613112055738128,same_region_and_match
ai class,usa,phrase match,1.5417470579771249,24.960798737529096,nearest_neighbor,mit ai class,usa,phrase match,1.79,28.98,0.8613112055738128,same_region_and_match
ai class,a,broad match,0.4965684405692255,3.6486985415738746,nearest_neighbor,ai diploma,a,broad match,0.69,5.07,0.719664406622066,same_region_and_match
ai class,b,broad match,0.41609424877471357,1.8867721970301667,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.7174038771977821,same_region_and_match
ai class,c,broad match,0.11602405343476008,1.360059737485243,nearest_neighbor,generative ai fundamentals course,c,broad match,0.18,2.11,0.644578074637556,same_region_and_match
ai course mit,usa,broad match,2.568440107615495,15.519724974587836,nearest_neighbor,mit ai course,usa,broad match,2.59,15.65,0.9916757172260598,same_region_and_match
ai course mit,usa,exact match,1.1809706726242777,20.866843346292043,nearest_neighbor,mit ai courses,usa,exact match,1.3,22.97,0.908438978941752,same_region_and_match
ai course mit,usa,phrase match,0.6049221875078965,17.631994252279345,nearest_neighbor,mit ai course,usa,phrase match,0.61,17.78,0.9916757172260598,same_region_and_match
ai course mit,a,broad match,1.7850162910069078,16.313065548368684,nearest_neighbor,mit ai course,a,broad match,1.8,16.45,0.9916757172260598,same_region_and_match
ai course mit,b,broad match,0.5207789840437086,0.5207789840437086,nearest_neighbor,mit generative ai course,b,broad match,0.65,0.65,0.8011984369903209,same_region_and_match
ai course mit,c,broad match,0.08947600731238076,1.8406492932832612,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.6391143379455768,same_region_and_match
ai course mit,c,exact match,0.07095908183072112,4.709909056514114,nearest_neighbor,mit artificial intelligence course,c,exact match,0.08,5.31,0.886988522884014,same_region_and_match
ai course mit,c,phrase match,0.14191816366144225,3.689872255197498,nearest_neighbor,mit artificial intelligence course,c,phrase match,0.16,4.16,0.886988522884014,same_region_and_match
ai course online,usa,broad match,0.3587597048035686,28.450478915817882,nearest_neighbor,generative ai online course,usa,broad match,0.43,34.1,0.83432489489202,same_region_and_match
ai course online,usa,exact match,1.7779472824220364,21.29908275064766,nearest_neighbor,ai learning course,usa,exact match,1.96,23.48,0.9071159604194063,same_region_and_match
ai course online,usa,phrase match,0.8254755239816598,29.66269190571459,nearest_neighbor,ai learning course,usa,phrase match,0.91,32.7,0.9071159604194063,same_region_and_match
ai course online,a,broad match,0.19189472582516462,8.718695151621608,nearest_neighbor,generative ai online course,a,broad match,0.23,10.45,0.83432489489202,same_region_and_match
ai course online,b,broad match,0.3424085616605643,0.9190966655099357,nearest_neighbor,online ai training courses,b,broad match,0.38,1.02,0.9010751622646429,same_region_and_match
ai course online,b,phrase match,0.1723520324796872,7.247856523751057,nearest_neighbor,ai learning course,b,phrase match,0.19,7.99,0.9071159604194063,same_region_and_match
ai course online,c,broad match,0.10846223633596262,1.952320254047327,nearest_neighbor,generative ai online course,c,broad match,0.13,2.34,0.8343248948920201,same_region_and_match
ai course online,c,exact match,0.4082021821887329,0.9071159604194063,nearest_neighbor,ai learning course,c,exact match,0.45,1.0,0.9071159604194063,same_region_and_match
ai course online,c,phrase match,0.19049435168807533,5.560620837370961,nearest_neighbor,ai learning course,c,phrase match,0.21,6.13,0.9071159604194063,same_region_and_match
ai courses,usa,broad match,1.2731291478748878,8.080472754879391,nearest_neighbor,gen ai courses,usa,broad match,1.47,9.33,0.8660742502550258,same_region_and_match
ai courses,usa,exact match,1.5726160921787136,39.31540230446784,nearest_neighbor,courses about ai,usa,exact match,1.62,40.5,0.9707506741843911,same_region_and_match
ai courses,usa,phrase match,2.164774003431192,15.774698455496356,nearest_neighbor,courses about ai,usa,phrase match,2.23,16.25,0.9707506741843911,same_region_and_match
ai courses,a,broad match,0.4221112933078836,12.115492227070959,nearest_neighbor,mit ai courses,a,broad match,0.47,13.49,0.8981091346976248,same_region_and_match
ai courses,a,phrase match,0.6892329786709176,9.697799235102067,nearest_neighbor,courses about ai,a,phrase match,0.71,9.99,0.9707506741843911,same_region_and_match
ai courses,b,broad match,0.5471236470677447,2.48092274446236,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.943316632875422,same_region_and_match
ai courses,b,phrase match,0.3203477224808491,3.514117440547496,nearest_neighbor,courses about ai,b,phrase match,0.33,3.62,0.9707506741843911,same_region_and_match
ai courses,c,broad match,0.08323850531137116,1.475591685065216,nearest_neighbor,generative ai foundations course,c,broad match,0.11,1.95,0.7567136846488287,same_region_and_match
ai courses,c,phrase match,0.15532010786950257,2.2424340573659434,nearest_neighbor,courses about ai,c,phrase match,0.16,2.31,0.9707506741843911,same_region_and_match
ai courses for engineers,usa,broad match,1.17519222475162,7.45887309995416,nearest_neighbor,gen ai courses,usa,broad match,1.47,9.33,0.799450493028313,same_region_and_match
ai courses for engineers,usa,phrase match,1.9986481682662345,14.56414023960821,nearest_neighbor,courses about ai,usa,phrase match,2.23,16.25,0.8962547839758899,same_region_and_match
ai courses for engineers,a,broad match,0.3898150163499103,11.188520362894234,nearest_neighbor,mit ai courses,a,broad match,0.47,13.49,0.8293936518083198,same_region_and_match
ai courses for engineers,a,phrase match,0.6363408966228817,8.95358529191914,nearest_neighbor,courses about ai,a,phrase match,0.71,9.99,0.8962547839758899,same_region_and_match
ai courses for engineers,b,broad match,0.5026673089098216,2.2793362455738464,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.8666677739824511,same_region_and_match
ai courses for engineers,b,phrase match,0.2957640787120437,3.2444423179927213,nearest_neighbor,courses about ai,b,phrase match,0.33,3.62,0.8962547839758899,same_region_and_match
ai courses for engineers,c,broad match,0.10009016384039418,2.0589976561452517,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.7149297417171012,same_region_and_match
ai courses for engineers,c,phrase match,0.14340076543614239,2.070348550984306,nearest_neighbor,courses about ai,c,phrase match,0.16,2.31,0.8962547839758899,same_region_and_match
ai courses from mit,usa,broad match,2.3121388368223155,13.97103196767152,nearest_neighbor,mit ai course,usa,broad match,2.59,15.65,0.8927176976147936,same_region_and_match
ai courses from mit,usa,exact match,1.2859573232604953,22.72187670407198,nearest_neighbor,mit ai courses,usa,exact match,1.3,22.97,0.9891979409696118,same_region_and_match
ai courses from mit,usa,phrase match,2.00511897059867,14.611292947187616,nearest_neighbor,courses about ai,usa,phrase match,2.23,16.25,0.8991564890576994,same_region_and_match
ai courses from mit,a,phrase match,0.6384011072309665,8.982573325686417,nearest_neighbor,courses about ai,a,phrase match,0.71,9.99,0.8991564890576994,same_region_and_match
ai courses from mit,b,broad match,0.5061227629479272,2.2950049423328425,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.8726254533584953,same_region_and_match
ai courses from mit,b,phrase match,0.29672164138904084,3.254946490388872,nearest_neighbor,courses about ai,b,phrase match,0.33,3.62,0.8991564890576994,same_region_and_match
ai courses from mit,c,broad match,0.10289852109258256,2.116769576761698,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.7349894363755897,same_region_and_match
ai courses from mit,c,phrase match,0.1438650382492319,2.0770514897232855,nearest_neighbor,courses about ai,c,phrase match,0.16,2.31,0.8991564890576994,same_region_and_match
ai courses generator,usa,broad match,1.2343281773742574,7.834205370681511,nearest_neighbor,gen ai courses,usa,broad match,1.47,9.33,0.8396790322273859,same_region_and_match
ai courses generator,usa,phrase match,0.5593671151163278,14.919671156637225,nearest_neighbor,ai generated courses,usa,phrase match,0.58,15.47,0.9644260605453927,same_region_and_match
ai courses generator,a,broad match,0.20502360183975754,3.5510087838646007,nearest_neighbor,generative ai courses,a,broad match,0.25,4.33,0.8200944073590302,same_region_and_match
ai courses generator,b,broad match,0.4770824217473525,2.1633220158543742,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.8225558995644009,same_region_and_match
ai courses generator,c,broad match,0.11047897456939358,2.2727103339989534,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.7891355326385255,same_region_and_match
ai courses generator,c,phrase match,0.1060868666599932,1.3791292665799115,nearest_neighbor,ai generated courses,c,phrase match,0.11,1.43,0.9644260605453927,same_region_and_match
ai courses mit,usa,broad match,2.4000098414241275,14.501989968450811,nearest_neighbor,mit ai course,usa,broad match,2.59,15.65,0.9266447264185822,same_region_and_match
ai courses mit,usa,exact match,1.2950583388827501,22.882684649335975,nearest_neighbor,mit ai courses,usa,exact match,1.3,22.97,0.9961987222175,same_region_and_match
ai courses mit,usa,phrase match,0.5652532831153352,16.475743235722394,nearest_neighbor,mit ai course,usa,phrase match,0.61,17.78,0.9266447264185822,same_region_and_match
ai courses mit,a,phrase match,0.39845723235999037,10.100427517962546,nearest_neighbor,mit ai course,a,phrase match,0.43,10.9,0.9266447264185822,same_region_and_match
ai courses mit,b,broad match,0.4936079023284971,2.2382565226274957,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.8510481074629261,same_region_and_match
ai courses mit,b,phrase match,0.14826315622697314,0.9637105154753255,nearest_neighbor,mit ai course,b,phrase match,0.16,1.04,0.9266447264185822,same_region_and_match
ai courses mit,c,broad match,0.10043254808543549,2.066040989186101,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.7173753434673963,same_region_and_match
ai courses mit,c,phrase match,0.14668190707106463,3.81372958384768,nearest_neighbor,mit artificial intelligence course,c,phrase match,0.16,4.16,0.9167619191941538,same_region_and_match
ai courses online free,usa,broad match,0.3428011006028449,27.18492448966747,nearest_neighbor,generative ai online course,usa,broad match,0.43,34.1,0.7972118618670812,same_region_and_match
ai courses online free,usa,exact match,5.803524039313872,44.267008402599544,nearest_neighbor,online ai and ml courses,usa,exact match,6.23,47.52,0.9315447896169937,same_region_and_match
ai courses online free,usa,phrase match,0.9315447896169937,15.277334549718695,nearest_neighbor,online ai and ml courses,usa,phrase match,1.0,16.4,0.9315447896169937,same_region_and_match
ai courses online free,a,broad match,0.3767954039373499,10.814829785350744,nearest_neighbor,mit ai courses,a,broad match,0.47,13.49,0.8016923488028721,same_region_and_match
ai courses online free,a,exact match,0.9352987511066747,31.390407608570683,nearest_neighbor,ai learning course,a,exact match,1.05,35.24,0.8907607153396901,same_region_and_match
ai courses online free,a,phrase match,0.36330246795062754,16.10640941247782,nearest_neighbor,online ai and ml courses,a,phrase match,0.39,17.29,0.9315447896169937,same_region_and_match
ai courses online free,b,broad match,0.36544225978498146,0.9809239604754765,nearest_neighbor,online ai training courses,b,broad match,0.38,1.02,0.9616901573288985,same_region_and_match
ai courses online free,b,exact match,0.2850434289087009,6.164064150150656,nearest_neighbor,ai learning course,b,exact match,0.32,6.92,0.8907607153396901,same_region_and_match
ai courses online free,b,phrase match,0.09315447896169937,7.7225063059248775,nearest_neighbor,online ai and ml courses,b,phrase match,0.1,8.29,0.9315447896169937,same_region_and_match
ai courses online free,c,broad match,0.10363754204272053,1.8654757567689695,nearest_neighbor,generative ai online course,c,broad match,0.13,2.34,0.797211861867081,same_region_and_match
ai courses online free,c,exact match,0.30740978057360796,1.4066326323216605,nearest_neighbor,online ai and ml courses,c,exact match,0.33,1.51,0.9315447896169937,same_region_and_match
ai courses online free,c,phrase match,0.2515170931965883,4.285106032238171,nearest_neighbor,online ai and ml courses,c,phrase match,0.27,4.6,0.9315447896169937,same_region_and_match
ai courses stanford,usa,broad match,1.556241516801015,7.571377267133029,nearest_neighbor,stanford ai professional program,usa,broad match,1.78,8.66,0.8742929869668624,same_region_and_match
ai courses stanford,usa,exact match,1.4121607833865546,35.30401958466386,nearest_neighbor,courses about ai,usa,exact match,1.62,40.5,0.8717041872756509,same_region_and_match
ai courses stanford,usa,phrase match,0.20108738700237835,2.54419259207357,nearest_neighbor,stanford ai professional program,usa,phrase match,0.23,2.91,0.8742929869668624,same_region_and_match
ai courses stanford,a,broad match,0.40635018899740916,11.66311499909585,nearest_neighbor,mit ai courses,a,broad match,0.47,13.49,0.8645748702072535,same_region_and_match
ai courses stanford,b,broad match,0.49687113944628397,2.253053615075391,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.8566743783556621,same_region_and_match
ai courses stanford,c,broad match,0.08331647414985525,1.4769738599292521,nearest_neighbor,generative ai foundations course,c,broad match,0.11,1.95,0.7574224922714113,same_region_and_match
ai courses with certificate,usa,broad match,0.9790126441551916,23.903503409063486,nearest_neighbor,ai certificate programs,usa,broad match,1.13,27.59,0.866382870933798,same_region_and_match
ai courses with certificate,usa,phrase match,1.7743061942978966,24.264836062560423,nearest_neighbor,ai certification courses,usa,phrase match,1.85,25.3,0.9590844293502143,same_region_and_match
ai courses with certificate,a,broad match,0.26582074136499556,13.03379118950946,nearest_neighbor,generative ai certificate course,a,broad match,0.31,15.2,0.8574862624677276,same_region_and_match
ai courses with certificate,b,broad match,0.10289835149612732,5.3507142777986205,nearest_neighbor,generative ai certificate course,b,broad match,0.12,6.24,0.8574862624677276,same_region_and_match
ai courses with certificate,c,broad match,0.12004807674548187,2.4695604359070553,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.8574862624677276,same_region_and_match
ai engineer certification,usa,broad match,1.0160456460421012,8.263837921142423,nearest_neighbor,best ai certification,usa,broad match,1.2,9.76,0.8467047050350843,same_region_and_match
ai engineer certification,usa,phrase match,1.525409521003855,16.384692855017878,nearest_neighbor,ai related certifications,usa,phrase match,1.7,18.26,0.8972997182375617,same_region_and_match
ai engineer certification,c,broad match,0.09865911712287075,2.029558980813341,nearest_neighbor,generative ai certificate course,c,broad match,0.14,2.88,0.7047079794490767,same_region_and_match
ai for business,usa,broad match,2.2080253475552314,20.008525988957278,nearest_neighbor,mit xpro designing and building ai products and services,usa,broad match,3.24,29.36,0.6814893048009972,same_region_and_match
ai for business,usa,exact match,9.65,9.65,exact,ai for business,usa,exact match,9.65,9.65,,
ai for business,usa,phrase match,1.43,25.62,exact,ai for business,usa,phrase match,1.43,25.62,,
ai for business,a,broad match,0.44208508151847836,3.2483642946357763,nearest_neighbor,ai diploma,a,broad match,0.69,5.07,0.640703016693447,same_region_and_match
ai for business,a,exact match,7.99779249237761,7.99779249237761,nearest_neighbor,ai for executives course,a,exact match,10.25,10.25,0.7802724382807424,same_region_and_match
ai for business,a,phrase match,0.42,11.69,exact,ai for business,a,phrase match,0.42,11.69,,
ai for business,b,broad match,0.12080430307950751,1.0041857693484062,nearest_neighbor,designing ai products and services,b,broad match,0.16,1.33,0.7550268942469219,same_region_and_match
ai for business,b,exact match,0.33,1.06,exact,ai for business,b,exact match,0.33,1.06,,
ai for business,b,phrase match,0.15,4.08,exact,ai for business,b,phrase match,0.15,4.08,,
ai for business,c,broad match,0.09107275976844664,1.0675751283967911,nearest_neighbor,generative ai fundamentals course,c,broad match,0.18,2.11,0.5059597764913703,same_region_and_match
ai for business,c,exact match,0.9645679079857976,1.1399438912559425,nearest_neighbor,ai for managers course,c,exact match,1.32,1.56,0.7307332636256042,same_region_and_match
ai for business,c,phrase match,0.17,4.79,exact,ai for business,c,phrase match,0.17,4.79,,
ai for engineering,usa,broad match,3.8616531791604203,6.014610261347204,nearest_neighbor,mit ai program,usa,broad match,5.65,8.8,0.6834784387894549,same_region_and_match
ai for engineering,usa,exact match,7.33,11.1,exact,ai for engineering,usa,exact match,7.33,11.1,,
ai for engineering,usa,phrase match,1.33,24.95,exact,ai for engineering,usa,phrase match,1.33,24.95,,
ai for engineering,a,broad match,0.4485319570572032,3.2957348148985806,nearest_neighbor,ai diploma,a,broad match,0.69,5.07,0.6500463145756569,same_region_and_match
ai for engineering,b,broad match,0.3610807684215902,1.637314518877211,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.6225530490027418,same_region_and_match
ai for engineering,b,phrase match,0.13,5.64,exact,ai for engineering,b,phrase match,0.13,5.64,,
ai for engineering,c,broad match,0.10675178354853722,1.2513681293745196,nearest_neighbor,generative ai fundamentals course,c,broad match,0.18,2.11,0.5930654641585401,same_region_and_match
ai for engineering,c,phrase match,0.29,1.24,exact,ai for engineering,c,phrase match,0.29,1.24,,
ai for engineers,usa,broad match,3.9098275898913983,6.089642971866248,nearest_neighbor,mit ai program,usa,broad match,5.65,8.8,0.6920048831666191,same_region_and_match
ai for engineers,usa,exact match,9.74,9.74,exact,ai for engineers,usa,exact match,9.74,9.74,,
ai for engineers,usa,phrase match,1.58,19.8,exact,ai for engineers,usa,phrase match,1.58,19.8,,
ai for engineers,a,broad match,0.4542748277156636,3.3379324297368327,nearest_neighbor,ai diploma,a,broad match,0.69,5.07,0.6583693155299473,same_region_and_match
ai for engineers,b,broad match,0.36782848837684334,1.6679119386743069,nearest_neighbor,best ai courses,b,broad match,0.58,2.63,0.634187048925592,same_region_and_match
ai for engineers,b,phrase match,0.14,1.45,exact,ai for engineers,b,phrase match,0.14,1.45,,
ai for engineers,c,broad match,0.11047565319140525,1.2950201568548059,nearest_neighbor,generative ai fundamentals course,c,broad match,0.18,2.11,0.6137536288411403,same_region_and_match
ai for engineers,c,phrase match,0.15,1.46,exact,ai for engineers,c,phrase match,0.15,1.46,,
