Keyword,Region,Match type,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
join the 5 day gen al intensive course with google,B,Broad match,1.7161165623268728,4.561562291880001,2.4073858182624477,4.561562,2.3057018694316866e-07
linkedin rapid idea generation using ai course,B,Broad match,1.7161165623254104,4.904947706280001,2.407385297832735,4.904948,-5.28278104816593e-07
lms ai course generator build content from outline,B,Broad match,1.7161165623268726,4.372908537780002,2.4073854140388518,4.3729086,-5.444411943500427e-08
mini course generator ai,B,Broad match,1.3361166416765968,4.334900508880001,1.6522384986871295,4.334901,-3.4713806584818485e-07
mini course generator with ai assistant,B,Exact match,13.996116296137828,24.31966350988,22.830725297485287,24.319656,7.1378096890839515e-06
mini course generator with ai assistant,B,Broad match,13.996116296137828,30.76193813288,28.291167297003536,30.761932,5.759833126006697e-06
mit cursos gratuitos online,B,Broad match,1.7161165623268726,5.665299699899999,2.407385156748144,5.6652994,2.843116204687135e-07
mit cursos online,B,Phrase match,1.716116562326873,4.4117235407,2.4073852762346677,4.4117236,-7.303901394806189e-08
mit cursos online,B,Broad match,1.716116562326873,5.2340714817,2.407385576243457,5.2340717,-2.4986738278443e-07
ocw mit edu,B,Phrase match,1.7161165623268726,4.5048291334,2.123297656425513,4.5048294,-2.73338280898372e-07
online course generative ai,B,Phrase match,13.99611629613783,28.59937022708,26.288833127241745,28.599365,4.9927050014275665e-06
online course generative ai,B,Broad match,13.99611629613775,33.699841772080006,29.27189949607903,33.69984,1.2264257094329878e-06
open educational resources mit,B,Broad match,1.716116562326873,4.3235322733800015,2.407385160533627,4.3235326,-3.0794934424704934e-07
opencourseware,B,Phrase match,1.7161165623268726,2.923964437100001,2.1232976280179696,2.9239643,1.7509133387605402e-07
python generative ai course,B,Broad match,13.996116296137822,26.229711397080003,25.270761473564683,26.22971,1.7718358620300023e-06
stanford generative ai free course,B,Broad match,13.996116296137735,26.58833809748,25.27076156988448,26.588335,3.0602485558972603e-06
stanford university ia,B,Broad match,13.99611629613783,24.9533892707,24.65492872754433,24.953386,2.963937305366926e-06
tech skills to learn,B,Broad match,1.7161165623268726,5.002192678280001,2.1954943559838584,5.002193,-2.9581057514604936e-07
this lab may incorporate ai tools to support your learning,B,Broad match,1.7161165623254118,4.864012422280001,2.407385291771578,4.8640127,-2.959206826247396e-07
watch leveraging generative ai for project management course,B,Broad match,1.7161165623268726,4.731535238180001,2.4073853911493615,4.7315354,-1.9654289928894286e-07
youtube video create ai,B,Broad match,1.7161165623254675,4.696725733680002,2.4073852376167695,4.696726,-1.1165691216064033e-07
