Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Cost,llm_relevance_score,Clicks
Phrase match,A,Thursday,0,Nov,0,95,3.4339872044851463,4.494356528290166,4.436437365477953,0.19867069479548416,0.1588730602288581,94.0,6.51,16.04,0.58,4.0,1
Exact match,USA,Wednesday,0,Mar,0,194,6.175867270105761,5.971681328238052,5.697213443164831,-0.41310845742073266,0.15209919111285927,88.0,3.88,12.66,3.67,3.0,1
Exact match,A,Monday,0,Aug,0,49,3.9318256327243257,3.563306712384019,3.433736163974295,0.21825356602001778,0.0950841922243826,92.0,6.62,30.09,7.05,5.0,1
Broad match,B,Tuesday,0,Nov,0,83,3.044522437723423,2.3978952727983707,2.3978952727983707,0.0,-5.934391687221749e-16,35.0,3.81,14.11,3.7199999999999998,4.0,6
Phrase match,B,Tuesday,0,Nov,0,90,6.78105762593618,6.781057625936181,6.78105762593618,0.0,-2.1363810073998297e-15,80.0,8.52,38.89,0.66,4.0,1
Phrase match,USA,Sunday,1,Jul,0,78,2.3978952727983707,2.8289800494150725,2.786119649721184,-0.6466271649250523,-0.014907632438860539,51.0,4.64,14.89,55.4,4.0,10
Broad match,USA,Sunday,1,Dec,0,71,3.9318256327243257,3.6203771126312545,3.5458211493728116,0.0,0.08387545866574844,88.0,5.96,15.94,10.47,5.0,3
Exact match,USA,Saturday,1,Mar,0,212,7.783640596221253,7.829952583929316,7.76787904778648,-0.8394517243226618,0.018580375517296233,83.0,6.68,24.85,3.16,5.0,1
Phrase match,B,Tuesday,0,Nov,0,83,6.78105762593618,8.997273026431634,8.946698877745918,-1.4135532112980265,0.10163944517921676,80.0,4.81,13.33,0.28,4.0,1
Broad match,USA,Wednesday,0,Aug,0,54,5.968707559985366,6.90875477931522,6.7781000397419575,0.0,0.07864635113203414,88.0,5.11,12.71,6.88,4.0,1
Exact match,B,Monday,0,Aug,0,35,4.948759890378168,5.211728415493796,5.246760844989364,-0.21019457697340638,-0.006005559342097498,83.0,4.17,14.99,1.13,2.0,1
Phrase match,USA,Wednesday,0,Apr,0,173,2.3978952727983707,2.613437661106721,2.721208855260897,-0.6466271649250523,-0.0923753092750077,94.0,6.24,20.12,91.2,5.0,8
Phrase match,USA,Wednesday,0,Nov,0,96,4.51085950651685,5.138571388379229,5.245058643115096,0.43213335519032636,-0.21235607584704733,80.0,6.34,22.72,35.88,3.0,4
Phrase match,A,Wednesday,0,Jan,0,33,7.3783837129967145,7.0131764196962,6.696308613980901,0.6413805631732084,0.24149018993259166,88.0,4.0,12.65,1.21,2.0,1
Broad match,USA,Friday,0,Oct,0,108,3.044522437723423,3.599933347231539,3.3871386869377687,-0.49783842823917945,0.1316923833946093,35.0,3.81,14.11,1.88,4.0,2
Broad match,A,Thursday,0,Dec,1,46,3.9318256327243257,3.7658794899779324,4.000500581036048,0.49783842823917945,-0.15374992533231818,67.0,5.0,13.97,2.4,4.0,2
Broad match,B,Thursday,0,Oct,0,109,3.9318256327243257,4.042110380829989,4.138616026462077,0.0,-0.054355738601728265,67.0,5.0,13.97,0.76,4.0,2
Exact match,B,Sunday,1,Dec,0,50,6.78105762593618,6.823623343729193,6.806597056611989,0.12769715337904053,0.025539430675808276,80.0,8.52,38.89,0.7,4.0,1
Phrase match,A,Monday,0,Dec,0,63,9.200391041122515,8.79497643168877,8.754849025469593,0.0,0.02006370310958747,71.0,3.57,11.25,4.14,4.0,3
Phrase match,B,Sunday,1,Dec,0,64,5.968707559985366,5.562606554642926,5.39422935538682,0.20692071580732208,0.16824119840747442,64.0,3.28,9.96,0.14,2.0,1
Phrase match,USA,Saturday,1,Dec,0,51,4.51085950651685,4.042110380829989,4.064167330451122,0.0,-0.06617084886339776,70.0,4.17,29.75,7.59,5.0,1
Phrase match,USA,Monday,0,Nov,0,84,3.044522437723423,4.104857575862547,4.3640590710225755,0.49783842823917945,-0.5144286457228034,86.0,5.75,24.38,20.68,4.0,2
Phrase match,B,Sunday,1,Jan,0,22,6.78105762593618,6.9535669612546345,6.867312293595408,0.26213369919728446,0.06663559208624968,80.0,8.52,38.89,0.44,4.0,1
Phrase match,B,Monday,0,Jan,0,35,9.200391041122515,8.79497643168877,8.761536926506123,0.0,0.017197459808218026,71.0,3.57,11.25,3.2,4.0,8
Phrase match,B,Wednesday,0,Nov,0,75,8.999742789830492,8.796352874037385,8.796008763450232,-0.20476635814172184,0.0405403389237577,85.0,4.18,13.54,2.34,4.0,3
Broad match,B,Wednesday,0,Nov,0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,4.0,12
Phrase match,C,Wednesday,0,Mar,0,208,4.51085950651685,5.278052453932088,5.172868208847888,-1.2271073797275927,0.10446947582784995,80.0,6.34,22.72,1.86,3.0,1
Phrase match,USA,Sunday,1,Apr,0,176,7.783640596221253,7.907787668506924,7.76787904778648,0.23350525373282416,0.023984334980647278,83.0,6.68,24.85,145.76,5.0,16
Phrase match,B,Monday,0,Dec,0,70,3.9318256327243257,4.0455581115736505,4.22177688261492,0.995958134608026,-0.05491078103370071,83.0,3.31,10.89,0.72,4.0,1
Broad match,USA,Saturday,1,Dec,0,58,2.3978952727983707,2.958801638335647,3.066572832489822,-1.0360919316867756,-0.070120179745766,71.0,6.18,13.07,5.88,5.0,7
Broad match,USA,Saturday,1,Feb,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.98,5.0,6
Phrase match,USA,Thursday,0,Jan,0,32,7.783640596221253,7.627970427066036,7.599345155484085,0.0,0.014721568242147267,83.0,6.68,24.85,2.53,5.0,1
Phrase match,B,Tuesday,0,Dec,0,55,2.3978952727983707,3.044522437723423,2.7858715717534017,0.0,0.19398814947751578,88.0,4.34,11.78,4.5600000000000005,3.0,6
Exact match,USA,Wednesday,0,Feb,0,5,4.2626798770413155,4.797269942667335,4.57260858451301,-0.995958134608026,-0.17000361917215687,86.0,5.66,26.82,71.2,5.0,5
Phrase match,A,Monday,0,Jan,0,35,3.4339872044851463,3.5271821585581997,3.2429918984469235,-0.2795848622191617,0.20536024415361512,93.0,5.68,15.38,9.3,5.0,3
Phrase match,B,Tuesday,0,Nov,0,97,5.771441123130016,4.345406420199827,4.386769691779082,0.0,-0.09927185179021528,90.0,4.37,13.32,2.22,4.0,2
Exact match,A,Monday,0,Jan,0,14,5.771441123130016,4.555674436861763,4.491903700110051,0.8789836794613448,0.0688423246143555,90.0,4.37,13.32,1.5,4.0,1
Phrase match,B,Sunday,1,Nov,0,85,8.999742789830492,8.796352874037385,8.796008763450232,-0.20476635814172184,0.0405403389237577,85.0,4.18,13.54,1.2,4.0,1
Broad match,USA,Saturday,1,Dec,0,51,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,33.0,0.0,0.0,19.88,4.0,14
Exact match,USA,Sunday,1,Apr,0,176,4.51085950651685,4.152395128935652,4.00573478649332,0.33085424431698973,0.06295368662634142,70.0,4.17,29.75,24.35,5.0,1
Broad match,USA,Wednesday,0,Sep,0,26,6.3818160174060985,6.90875477931522,6.9087547793152195,0.0,0.0,88.0,3.54,12.32,22.68,4.0,7
Phrase match,USA,Saturday,1,Nov,0,72,7.783640596221253,7.918749352030461,7.882723338775882,0.0,0.006175887986499087,83.0,6.68,24.85,10.85,5.0,7
Phrase match,B,Thursday,0,Nov,1,74,7.783640596221253,7.3783837129967145,7.4213216203696435,0.0,-0.05152548884751639,85.0,4.18,13.29,0.17,4.0,1
Broad match,A,Wednesday,0,Dec,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.59,4.0,7
Broad match,USA,Monday,0,Nov,0,84,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,100.0,0.0,0.0,9.6,4.0,5
Phrase match,C,Tuesday,0,Feb,0,6,8.999742789830492,9.468430363732297,9.770457052449794,0.40205898391467443,-0.20140129898373874,78.0,3.74,13.2,0.65,4.0,1
Broad match,C,Thursday,0,Jan,0,18,3.9318256327243257,4.162370483420825,4.047098058072575,-0.7972874398125418,0.027905372445556534,67.0,5.0,13.97,0.96,4.0,2
Exact match,USA,Sunday,1,Jan,0,29,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,94.0,6.24,20.12,3.2,5.0,1
Broad match,C,Monday,0,Nov,0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,4.0,16
Phrase match,A,Thursday,0,Mar,0,207,3.044522437723423,3.3973605696376254,3.285852298140812,0.2795848622191617,0.117833647955082,87.0,3.9,10.31,1.32,4.0,1
Broad match,A,Monday,0,Jan,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94,4.0,2
Exact match,A,Friday,0,Aug,0,45,7.783640596221253,8.188966863648876,8.08088882388514,0.0,0.0555829918784925,85.0,4.18,13.29,2.36,4.0,1
Broad match,USA,Tuesday,0,Sep,0,27,7.783640596221253,7.783640596221253,8.01785265980615,0.0,-0.13126164343795654,18.0,1.43,7.34,90.72,5.0,18
Exact match,C,Tuesday,0,Dec,0,55,6.78105762593618,8.997273026431634,8.835276515558952,-0.20475233378180135,-0.06060263959735652,80.0,4.81,13.33,0.33,4.0,1
Phrase match,USA,Thursday,0,Dec,0,53,5.968707559985366,5.562606554642926,5.39422935538682,0.20692071580732208,0.16824119840747442,64.0,3.28,9.96,1.62,3.0,1
Phrase match,B,Tuesday,0,Mar,0,209,5.968707559985366,5.97200531774038,5.767305936191654,-0.20715971012039525,0.1405225063113051,64.0,3.28,9.96,1.21,3.0,1
Exact match,USA,Tuesday,0,Jun,0,104,8.999742789830492,9.200391041122515,9.233959496559622,0.0,-0.02872939144148578,78.0,3.74,13.2,5.12,4.0,1
Broad match,B,Thursday,0,Aug,0,32,7.783640596221253,8.188966863648876,8.08088882388514,0.0,0.0555829918784925,85.0,4.18,13.29,19.2,4.0,16
Phrase match,C,Thursday,0,Dec,0,67,8.999742789830492,9.87085844732769,10.085796638537378,0.201406652239136,-0.28195463719792163,78.0,3.74,13.2,3.1500000000000004,4.0,3
Broad match,USA,Sunday,1,Nov,0,92,6.78105762593618,7.501554805740729,7.564762616403382,-0.612752117708748,-0.06752128078129402,80.0,4.81,13.33,2.54,4.0,1
Exact match,USA,Friday,0,Dec,0,45,4.709530201312334,5.558297174603573,5.218790385287077,0.40418715266267213,0.33733449233564244,86.0,4.88,20.92,24.4,5.0,4
Broad match,A,Sunday,1,Nov,0,85,3.044522437723423,3.599933347231539,3.452049481398056,0.0,0.06986177891565143,35.0,3.81,14.11,2.74,4.0,2
Exact match,USA,Tuesday,0,Sep,0,6,6.580639137284949,6.866189061522206,6.7902202622873205,0.0,0.04636664837102935,75.0,3.39,22.42,10.78,4.0,2
Broad match,USA,Sunday,1,Dec,0,50,3.9318256327243257,3.6203771126312545,3.5458211493728116,0.0,0.08387545866574844,88.0,5.96,15.94,24.84,5.0,2
Phrase match,C,Wednesday,0,Jan,0,33,8.999742789830492,9.401294812985919,9.938229038968233,-0.40205898391467443,-0.28760344945807864,78.0,3.74,13.2,0.64,4.0,2
Phrase match,B,Thursday,0,Oct,0,116,4.51085950651685,4.802793095757729,4.875776493067949,-0.4379003838613187,-0.06255719769447397,80.0,6.34,22.72,0.96,3.0,2
Broad match,USA,Saturday,1,Mar,0,212,3.9318256327243257,4.052085735315161,4.143603703704662,-0.579033873792524,-0.0015071014681697027,67.0,5.0,13.97,35.82,4.0,6
Broad match,B,Monday,0,Jan,1,21,3.044522437723423,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,35.0,3.81,14.11,9.99,4.0,9
Phrase match,A,Friday,0,Nov,0,87,4.51085950651685,4.723049866069117,4.835904878223643,0.19867069479548416,-0.07170998848323218,80.0,6.34,22.72,1.14,3.0,1
Exact match,USA,Monday,0,Mar,0,203,4.2626798770413155,3.9523631575005957,4.115628573576241,-0.2795848622191617,-0.012012079200443828,86.0,5.66,26.82,45.26,5.0,2
Phrase match,USA,Saturday,1,Dec,0,51,8.999742789830492,8.796352874037384,8.755674890878764,-0.20063703109587827,-0.02006370310958747,85.0,4.18,13.54,3.04,4.0,1
Exact match,USA,Wednesday,0,Dec,1,47,3.9318256327243257,4.152395128935653,4.130338179314519,-0.33085424431698973,-0.033085424431698804,62.0,5.16,13.59,4.0,4.0,1
Exact match,A,Thursday,0,Jun,1,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,5.0,1
Phrase match,USA,Friday,0,Dec,0,45,7.783640596221253,7.981806081330511,8.152259873543766,-0.18917018790015128,-0.12228746288623461,86.0,3.86,11.09,0.87,4.0,1
Broad match,B,Saturday,1,Jan,0,37,2.3978952727983707,2.3978952727983707,1.998246060665309,0.0,0.2055338805255746,33.0,0.0,0.0,12.07,4.0,17
Broad match,C,Friday,0,Jan,0,38,3.044522437723423,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,35.0,3.81,14.11,19.32,4.0,92
Broad match,B,Wednesday,0,Nov,0,82,3.9318256327243257,4.042110380829989,4.014539193803573,0.33085424431698973,0.09925627329509569,67.0,5.0,13.97,1.2,4.0,2
Phrase match,B,Sunday,1,Jan,0,15,2.3978952727983707,2.958801638335647,2.678348455567009,0.6466271649250523,0.12197793589462955,50.0,0.0,0.0,1.14,4.0,2
Phrase match,USA,Saturday,1,Dec,0,65,7.783640596221253,7.783640596221253,7.882723338775882,0.0,-0.02779533803223103,83.0,6.68,24.85,7.28,5.0,4
Exact match,USA,Sunday,1,Nov,0,78,7.783640596221253,7.64855496847974,7.623950061981913,0.0,0.110577264442299,83.0,6.68,24.85,19.02,5.0,2
Phrase match,A,Tuesday,0,Mar,0,202,3.713572066704308,3.8966080034833106,3.646984286560468,-0.5491078103370075,0.15063304108955994,87.0,3.22,10.38,5.49,4.0,3
Phrase match,A,Wednesday,0,Mar,0,208,2.3978952727983707,2.613437661106721,2.8938908438753597,0.6466271649250523,-0.1295380712431091,94.0,6.24,20.12,14.72,5.0,1
Broad match,C,Friday,0,Nov,0,94,3.9318256327243257,4.042110380829989,4.014539193803573,0.33085424431698973,0.09925627329509569,67.0,5.0,13.97,1.32,4.0,6
Exact match,USA,Saturday,1,Jan,0,23,2.3978952727983707,2.8289800494150725,2.786119649721184,-0.6466271649250523,0.04429762080038381,94.0,6.24,20.12,12.32,5.0,1
Exact match,B,Thursday,0,Jun,0,109,9.200391041122515,9.200391041122515,9.132821939550224,0.0,0.057916372776249024,71.0,3.57,11.25,2.25,4.0,1
Exact match,USA,Wednesday,0,Dec,0,54,3.713572066704308,3.3973605696376254,3.4120112235766333,-0.2795848622191617,0.027958486221915848,87.0,3.22,10.38,2.31,4.0,1
Broad match,USA,Sunday,1,Jan,0,22,3.9318256327243257,4.162370483420825,4.047098058072575,-0.7972874398125418,0.027905372445556534,67.0,5.0,13.97,12.44,4.0,4
Phrase match,USA,Thursday,0,Jan,0,25,4.709530201312334,5.562606554642926,5.836157345761776,0.41958298965394913,-0.1406277229464386,79.0,4.99,14.73,3.47,4.0,1
Exact match,USA,Wednesday,0,Jul,0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1
Phrase match,USA,Monday,0,Oct,0,112,4.51085950651685,4.802793095757729,4.875776493067949,-0.4379003838613187,-0.06255719769447397,80.0,6.34,22.72,9.520000000000001,3.0,7
Broad match,USA,Wednesday,0,Sep,0,5,6.175867270105761,6.445715181558552,6.34511601704888,0.0,0.08663503400380487,56.0,3.13,9.16,2.27,5.0,1
Broad match,USA,Friday,0,Oct,0,108,4.2626798770413155,4.345406420199827,4.24890077456774,-0.2481796294755343,0.03072551807838868,80.0,5.35,22.88,34.8,5.0,29
Exact match,A,Tuesday,0,Nov,0,83,4.51085950651685,4.042110380829989,4.09725275488282,-0.33085424431698973,-0.06617084886339943,70.0,4.17,29.75,1.57,5.0,1
Phrase match,C,Saturday,1,Jan,0,16,2.3978952727983707,3.044522437723423,2.828980049415072,0.0,0.1478004948400118,88.0,4.34,11.78,0.58,3.0,2
Broad match,B,Monday,0,Sep,0,7,4.51085950651685,5.035332963789194,4.8062080176189355,2.317959260243634,0.238937890341741,63.0,5.36,16.7,9.28,4.0,2
Phrase match,C,Tuesday,0,Nov,0,76,6.580639137284949,6.175463615832409,6.175564529400747,0.2059487473003374,0.08250059520213852,56.0,3.01,9.01,1.15,4.0,1
Exact match,USA,Tuesday,0,Jan,0,20,3.713572066704308,3.6203771126312545,3.4622713640979126,0.2795848622191617,0.059056398287905425,87.0,3.22,10.38,5.44,4.0,2
Exact match,C,Monday,0,Dec,0,63,6.3818160174060985,6.97413869810332,6.896906269236465,-0.5902493412275556,-0.001100612472613018,88.0,3.54,12.32,0.35,4.0,1
Broad match,USA,Tuesday,0,Aug,0,41,8.594339400592892,8.594339400592892,8.594339400592892,0.0,2.3952390736185767e-16,89.0,5.19,16.3,126.41999999999999,5.0,21
Phrase match,USA,Monday,0,Feb,0,0,6.78105762593618,8.32271366575702,8.659993346094325,-0.20062020316221485,-0.1732219995666384,80.0,4.81,13.33,11.77,4.0,1
Exact match,A,Monday,0,Sep,1,28,2.3978952727983707,2.3978952727983707,2.786119649721184,0.0,-0.17740312145963388,50.0,0.0,0.0,3.41,4.0,1
Exact match,B,Sunday,1,Jan,0,29,6.78105762593618,7.245195566889979,7.397665454689204,-0.389830852576325,-0.13570354059874845,80.0,4.81,13.33,0.43,4.0,1
Phrase match,C,Saturday,1,Nov,0,79,3.4339872044851463,4.494356528290166,4.436437365477953,0.19867069479548416,0.1588730602288581,94.0,6.51,16.04,0.75,4.0,1
Exact match,A,Saturday,1,Dec,0,44,6.78105762593618,8.997273026431634,8.835276515558952,-0.20475233378180135,-0.06060263959735652,80.0,4.81,13.33,2.2,4.0,1
Exact match,B,Monday,0,Sep,0,7,6.78105762593618,7.550135342488429,7.666887969354842,0.0,-0.06004420810272624,80.0,4.81,13.33,0.95,4.0,1
Exact match,USA,Thursday,0,Mar,0,193,2.3978952727983707,3.2350325291877033,2.816463900993037,-1.2181574393178924,0.25221398963868824,82.0,3.56,8.1,7.3,4.0,1
Broad match,B,Tuesday,0,Nov,0,83,2.3978952727983707,1.598596848532247,1.798421454598778,0.0,0.2397895272798366,33.0,0.0,0.0,3.4000000000000004,4.0,5
Phrase match,USA,Friday,0,Jan,0,10,2.3978952727983707,3.044522437723423,2.828980049415072,0.0,0.1478004948400118,88.0,4.34,11.78,77.12,3.0,16
Broad match,A,Thursday,0,Sep,0,25,7.783640596221253,7.981806081330511,7.843805796487078,0.2161560795274715,0.09413307605820076,83.0,6.68,24.85,42.199999999999996,5.0,10
Broad match,USA,Sunday,1,Feb,0,1,3.9318256327243257,4.118309300246989,3.8227457294025946,0.7777045685880082,0.22489229339581376,88.0,5.96,15.94,30.049999999999997,5.0,5
Phrase match,A,Wednesday,0,Mar,0,194,8.999742789830492,8.99837008754726,8.897361480792322,-0.2006482512920229,0.040482310268488995,85.0,4.18,13.54,8.61,4.0,1
Phrase match,B,Monday,0,Jan,0,35,2.3978952727983707,2.958801638335647,3.149545903863018,-0.6466271649250523,-0.10659926436755526,86.0,0.0,0.0,0.54,4.0,2
Phrase match,USA,Saturday,1,Dec,0,51,2.3978952727983707,2.7432592500272954,2.605113659135726,-1.0360919316867756,0.10360919316867759,50.0,0.0,0.0,4.45,4.0,1
Exact match,B,Friday,0,Jan,0,38,6.78105762593618,8.457837844738357,8.760994940767642,0.0,-0.09830000101961196,80.0,4.81,13.33,0.84,4.0,2
Exact match,USA,Saturday,1,Jul,0,79,8.999742789830492,9.133508290691841,9.133508290691841,0.0,0.011465614359543807,85.0,4.18,13.54,3.94,4.0,1
Broad match,A,Friday,0,Nov,0,73,6.78105762593618,7.501554805740729,7.564762616403382,-0.612752117708748,-0.06752128078129402,80.0,4.81,13.33,0.96,4.0,1
Exact match,B,Saturday,1,Dec,0,65,7.783640596221253,6.514364763991999,6.724547509960745,0.19882311987885082,-0.17074374443642332,89.0,4.82,14.67,1.12,5.0,2
Broad match,USA,Thursday,0,Oct,0,102,2.3978952727983707,3.1743440266439973,3.0016620380295347,-0.38946476676172326,0.12575800356886951,71.0,6.18,13.07,12.35,5.0,13
Exact match,C,Friday,0,Nov,0,87,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-5.934391687221749e-16,51.0,4.64,14.89,0.68,4.0,1
Broad match,USA,Monday,0,Nov,0,91,3.9318256327243257,3.7658794899779324,4.000500581036048,-0.49783842823917945,-0.13020422876829868,67.0,5.0,13.97,7.38,4.0,6
Exact match,A,Friday,0,Nov,0,80,3.4339872044851463,4.494356528290166,4.436437365477953,0.19867069479548416,0.1588730602288581,94.0,6.51,16.04,0.75,4.0,1
Exact match,B,Sunday,1,Jan,0,29,4.51085950651685,5.067683963763687,5.173603817874797,-0.6423279321637327,-0.12802298561146674,80.0,6.34,22.72,0.54,3.0,1
Broad match,USA,Friday,0,Nov,0,80,3.9318256327243257,3.5271821585581997,3.503883420039937,0.2795848622191617,0.08387545866574778,88.0,5.96,15.94,29.900000000000002,5.0,5
Broad match,USA,Thursday,0,Jan,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.849999999999998,5.0,5
Broad match,USA,Monday,0,Nov,0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,4.0,2
Broad match,USA,Thursday,0,Aug,0,39,5.771441123130016,6.040654900173827,5.836117513376263,0.41310845742073266,0.1640453922918914,79.0,1.55,6.26,31.410000000000004,4.0,9
Phrase match,B,Saturday,1,Nov,0,72,2.3978952727983707,2.828980049415072,2.7212088552608966,0.0,0.25865086597002046,88.0,4.34,11.78,1.73,3.0,1
Broad match,A,Friday,0,Oct,0,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.040000000000001,4.0,9
Phrase match,B,Saturday,1,Dec,0,65,8.999742789830492,8.796352874037384,8.755674890878764,-0.20063703109587827,-0.02006370310958747,85.0,4.18,13.54,0.54,4.0,1
Phrase match,USA,Wednesday,0,Jan,0,33,3.4339872044851463,3.5271821585581997,3.2429918984469235,-0.2795848622191617,0.20536024415361512,93.0,5.68,15.38,22.72,5.0,8
Phrase match,A,Wednesday,0,Jan,0,12,3.9318256327243257,4.228594048352652,4.228594048352652,-0.44685032427101845,-0.025534304244058097,83.0,3.31,10.89,1.35,4.0,1
Exact match,A,Friday,0,Dec,0,52,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,8.107922592650825e-17,86.0,0.0,0.0,1.83,4.0,1
Broad match,C,Saturday,1,Dec,0,51,3.9318256327243257,3.6203771126312545,3.5458211493728116,0.0,0.08387545866574844,88.0,5.96,15.94,1.98,5.0,9
Exact match,USA,Sunday,1,Dec,0,57,6.3818160174060985,6.97413869810332,6.896906269236465,-0.5902493412275556,-0.001100612472613018,88.0,3.54,12.32,12.01,4.0,1
Phrase match,USA,Wednesday,0,Nov,0,82,6.78105762593618,8.997273026431634,8.946698877745918,-1.4135532112980265,0.10163944517921676,80.0,4.81,13.33,2.56,4.0,1
Exact match,A,Friday,0,Jan,0,31,7.783640596221253,7.627970427066036,7.599345155484085,0.0,0.014721568242147267,83.0,6.68,24.85,3.19,5.0,1
Broad match,B,Thursday,0,Nov,0,88,6.78105762593618,7.501554805740729,7.564762616403382,-0.612752117708748,-0.06752128078129402,80.0,4.81,13.33,0.32,4.0,2
Broad match,USA,Tuesday,0,Sep,0,27,8.999742789830492,9.200391041122515,9.200391041122515,0.0,0.0,78.0,3.74,13.2,33.92,3.0,8
Phrase match,USA,Wednesday,0,Mar,0,201,7.3783837129967145,7.435634256160619,7.062822637061163,0.0,0.20066677625335208,88.0,4.0,12.65,65.4,2.0,2
