Keyword	Avg. monthly searches	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Searches: Mar 2022	Searches: Apr 2022	Searches: May 2022	Searches: Jun 2022	Searches: Jul 2022	Searches: Aug 2022	Searches: Sep 2022	Searches: Oct 2022	Searches: Nov 2022	Searches: Dec 2022	Searches: Jan 2023	Searches: Feb 2023	Searches: Mar 2023	Searches: Apr 2023	Searches: May 2023	Searches: Jun 2023	Searches: Jul 2023	Searches: Aug 2023	Searches: Sep 2023	Searches: Oct 2023	Searches: Nov 2023	Searches: Dec 2023	Searches: Jan 2024	Searches: Feb 2024	Searches: Mar 2024	Searches: Apr 2024	Searches: May 2024	Searches: Jun 2024	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
ai system design	880	Medium	39	0.435868	6.217992	70	70	90	50	50	90	50	70	110	110	110	110	170	170	170	170	210	210	260	260	320	260	320	320	390	390	480	480	320	320	390	480	480	390	590	720	720	590	720	720	1000	880	880	1000	880	1000	1300	1600
alison course certificate	1300	Low	26	0.05	1.589339	1300	1000	1300	1600	1900	1300	1900	2400	2400	2400	2900	1900	2400	1900	1900	1600	1600	1600	1300	1300	1300	1000	1000	880	1000	1000	1000	1000	1300	1300	1600	1300	1300	1000	1300	1000	1300	1000	1300	1300	1300	1600	1300	1300	1600	1000	1000	1300
alison courses	90500	Medium	44	0.0727	1.52	60500	49500	60500	60500	60500	60500	60500	60500	60500	49500	90500	74000	74000	74000	90500	90500	90500	90500	74000	74000	74000	60500	90500	74000	74000	74000	74000	74000	74000	74000	74000	74000	60500	60500	74000	74000	74000	60500	74000	74000	74000	74000	90500	90500	74000	74000	135000	110000
altium pcb design course	320	Low	22	0.158997	2.11	90	110	90	90	90	140	110	140	140	140	170	170	170	170	210	210	210	170	210	170	140	210	210	210	210	210	210	210	260	260	260	210	210	210	260	210	260	210	320	260	390	260	320	260	260	260	260	590
alx courses	6600	Low	27	0.210934	1.99	390	390	1300	2900	3600	2400	2400	2400	1600	2400	5400	4400	8100	8100	6600	4400	3600	3600	2400	1900	1900	2400	5400	6600	6600	6600	6600	6600	9900	9900	12100	9900	9900	6600	12100	8100	9900	9900	9900	9900	8100	6600	6600	5400	5400	4400	6600	5400
alxafrica courses	70	Medium	35	0.339145	2.609047	0	0	0	0	0	0	0	0	0	0	0	70	140	10	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	40	30	10	10	70	70	30	30	50	50	110	110	70	40	30	70	70	50
an introduction to general systems thinking	140	Low	23	0.36	3.036786	260	210	170	170	170	170	170	140	260	210	170	140	170	110	90	110	140	170	170	140	140	260	210	110	170	140	140	170	170	110	170	110	90	140	90	140	140	110	110	110	210	110	110	110	170	140	260	140
analytical thinking and innovation skills	20	Low				10	10	20	30	30	10	10	20	20	10	20	20	10	10	10	10	10	10	20	10	10	20	10	20	20	20	20	20	20	20	10	20	10	10	10	10	10	10	10	10	10	10	10	10	20	40	110	40
analytical thinking problem solving	170	Low	3	0.044431	1.6	170	170	210	210	170	210	210	210	210	170	140	170	170	140	170	170	170	210	210	210	210	140	210	210	170	210	170	170	170	210	210	210	170	170	170	170	210	170	140	140	140	170	170	210	170	170	140	170
asana	1220000	Medium	39	1.381278	21.054916	1500000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1000000	1500000	1220000	1500000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1000000	1500000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1000000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1000000	1220000	1500000	1000000	1000000	1220000	1000000
automation course	2900	Medium	43	0.239258	2.120941	2400	2400	2900	2900	3600	2900	2900	2900	2400	2400	2900	2400	2900	2900	2900	2900	2900	2900	2900	2900	2400	2900	3600	2900	2900	2900	3600	5400	4400	2900	2900	2900	2900	2900	3600	2900	3600	2900	2900	2900	3600	2900	3600	2900	2900	2900	3600	2900
barry richmond systems thinking	20	Low	6			30	40	30	40	30	40	50	90	30	30	40	30	70	30	30	20	30	40	40	30	30	20	50	40	70	40	40	40	40	10	20	40	40	20	20	30	30	20	20	30	20	10	30	30	20	10	20	20
basecamp	301000	Low	12	0.03	13.960892	450000	368000	368000	368000	368000	368000	368000	368000	368000	301000	450000	368000	368000	301000	368000	301000	301000	301000	368000	368000	368000	301000	368000	368000	368000	368000	368000	368000	368000	368000	368000	368000	368000	301000	368000	301000	301000	301000	301000	301000	368000	301000	368000	368000	301000	301000	301000	301000
becoming an entrepreneur mit	170	Low	29	1.201365	4.443059	10	10	10	10	10	10	10	20	20	10	20	10	20	480	210	880	90	390	210	90	170	90	880	720	480	210	480	390	480	260	390	170	110	170	170	90	140	260	320	210	170	260	210	90	90	50	170	90
best business certification programs	210	Low	7	1.987044	8.74	170	140	170	170	140	140	140	140	170	140	210	170	260	210	210	140	140	140	110	110	110	90	110	110	110	110	70	90	110	90	110	90	70	70	90	90	70	260	390	480	170	170	260	140	90	30	40	320
best certifications for it directors	10	High	71	5.556883	10.608802	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	20	10	10	10	20	10	20	20	30	10	10	20	20	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10
best course in business analytics	20	High	71	0.783103	3.528665	40	40	40	40	40	70	40	40	40	40	40	40	40	40	30	30	50	50	30	30	20	30	30	40	50	50	30	40	40	40	40	30	20	20	30	10	30	20	20	10	30	10	10	10	10	10	10	10
best course on critical thinking	10	Medium	43			10	10	10	10	10	10	10	20	10	10	10	10	10	10	20	10	10	10	10	10	20	20	20	20	20	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
best course on system design	50	Medium	64	0.347375	1.908637	50	70	50	50	70	70	50	70	50	70	70	50	50	70	70	70	70	70	70	70	50	70	90	70	90	70	90	70	70	70	70	50	50	70	50	50	70	50	50	50	70	50	50	50	50	70	50	40
best courses for project management	1600	Medium	65	0.991875	6.91	1600	1900	1900	1900	1900	2400	1900	1900	1900	1900	2900	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2900	2900	2900	2900	2400	2400	2400	2400	2400	2400	1900	1900	2400	2400	2400	1900	1900	1600	1600	1300	2400	1300	1300	1000	1600	1300
best critical thinking courses	40	Medium	47	0.454563	2.995629	90	90	90	90	90	70	70	70	70	70	70	50	50	50	70	70	50	50	70	50	70	50	50	70	50	50	70	70	70	70	50	50	50	50	90	70	50	70	70	50	40	30	40	40	30	40	50	30
best free online project management courses with certificates	1000	Medium	50	0.167515	3.95	320	390	480	590	590	590	590	480	390	390	720	720	720	720	880	1000	1000	1300	1300	1300	1300	1000	1600	1600	1600	1600	1600	1900	4400	1300	1300	1300	1000	1000	1300	1300	1000	1000	1000	1000	1000	880	880	880	880	720	880	1000
best online certificate programs for project management	10	Low	31			30	20	40	10	20	30	10	10	10	20	30	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	30	10	10	10	10	10	10	10	10	10	20	20	10	10	10	20	50	10	10	10	10	10
best online coding courses with certificates	590	Medium	53	0.528018	11.605344	320	480	590	590	720	720	880	480	480	480	880	720	880	1000	1300	1000	1000	1000	590	720	480	480	590	880	880	590	880	1300	880	390	880	590	320	2400	390	320	480	480	590	590	480	480	480	480	590	590	880	720
best product management certification	720	Medium	62	1.405446	9.295129	1000	880	880	880	880	1000	880	880	880	880	1000	720	880	880	880	880	1000	1000	1000	1000	880	880	1300	1000	1000	1000	1000	1000	1000	1000	1600	1000	1000	880	1000	880	880	880	880	720	590	590	720	590	590	480	590	590
best project management certification	2900	Medium	60	1.352072	10.569128	3600	3600	3600	3600	3600	4400	3600	3600	3600	3600	4400	4400	4400	3600	3600	3600	3600	4400	4400	4400	3600	4400	5400	4400	4400	9900	27100	6600	5400	4400	4400	4400	3600	3600	4400	4400	4400	3600	2900	2900	2900	2900	2900	2400	2400	1900	2900	2900
best software architect certification	40	Low	10	0.69	2.29141	90	70	90	90	70	70	90	70	90	70	90	70	90	70	70	30	40	50	70	90	50	50	90	70	50	70	70	70	40	50	70	40	40	40	50	50	30	30	40	50	30	30	20	20	20	40	40	110
best system design book	1900	High	67	0.099159	1.461407	1600	1600	1900	1900	1900	1900	1900	1600	1600	1600	1600	1300	1600	1300	1300	1300	1300	1300	1300	1600	1600	1900	2400	1900	1900	1900	1900	1900	2400	2400	1900	1900	1900	2400	2400	1900	2400	1900	1900	1900	1900	1900	1900	1900	1900	2400	2400	2400
best system design course	1300	Medium	51	0.307609	1.72	720	720	880	880	880	880	880	880	1000	880	880	880	880	880	880	1000	1000	1000	1000	1000	1300	1600	1600	1300	1600	1300	1600	1900	1900	1600	2400	1300	1300	1600	1600	1300	1600	1600	1300	1300	1300	1300	1300	1300	1300	1600	1600	1600
best systems thinking courses	10	Medium	63	1.71	8.265353	20	20	20	50	30	30	30	50	10	30	20	20	40	40	30	20	20	20	30	10	20	20	30	10	40	30	10	10	10	10	10	10	10	10	20	10	10	20	10	10	10	10	10	20	10	20	10	10
best tech online courses	10	High	67	0.555188	31.17	30	30	40	30	30	30	40	20	50	30	40	10	20	20	20	20	20	10	20	30	20	10	10	10	10	10	20	20	20	20	10	20	10	20	40	30	20	20	10	20	10	10	10	10	10	10	10	10
books for system design	170	Medium	51	0.044445	1.001822	140	110	140	170	140	140	170	140	90	110	140	110	110	110	110	90	110	110	140	140	140	170	210	170	140	170	170	210	170	170	170	170	140	170	210	170	170	170	170	170	210	140	170	170	140	210	210	170
books on systems thinking	2900	High	93	0.131714	2.756947	1600	1300	1300	1600	1600	1600	1600	1300	1600	1600	1900	1600	1600	1600	1600	1600	1600	1900	1900	1900	1900	2400	2400	2400	2400	1900	2400	2400	2900	2400	1900	2400	1900	1900	3600	2400	2400	2400	2400	2400	2400	2900	2900	2400	2900	2900	2900	2900
brand management courses	2900	Medium	58	0.75	3.495841	2400	2400	2400	2400	2400	2900	2900	2400	2400	2400	2900	2400	2900	2900	2900	2900	3600	3600	3600	2900	2900	2900	3600	3600	2900	3600	4400	4400	3600	3600	3600	2900	2900	2400	3600	2900	3600	2900	3600	2900	2900	2400	2900	2400	2400	1900	2400	2400
business administration certifications	3600	Medium	48	1.820192	16.955844	2900	2900	2900	2900	2900	3600	2900	2900	2900	2400	3600	2900	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	4400	3600	4400	4400	4400	5400	5400	4400	9900	8100	3600	3600	4400	3600	5400	4400	3600	2900	2900	2900	3600	2400	2400	1900	2900	2900
business administration level 2 course	70	Medium	63	0.81681	2.480612	40	40	40	50	50	50	50	50	40	50	50	40	70	40	50	50	50	50	70	70	50	50	90	70	90	50	50	70	70	70	70	50	50	30	70	90	90	70	70	70	70	70	70	70	90	70	110	110
business administration nqf 3	10	Low	7			30	30	30	10	20	10	10	10	10	10	10	20	10	10	10	20	10	10	20	20	10	10	10	20	20	20	20	20	10	10	10	10	10	10	20	10	10	20	10	20	20	10	10	10	10	10	10	30
business analyst course	33100	Medium	66	0.569124	3.103579	27100	27100	40500	40500	49500	49500	40500	40500	40500	33100	49500	40500	40500	40500	49500	49500	49500	49500	40500	40500	40500	49500	49500	49500	49500	49500	60500	60500	60500	49500	40500	40500	40500	40500	49500	40500	49500	40500	40500	40500	40500	33100	33100	27100	27100	27100	33100	27100
business courses online with certificates	260	High	68	1.078498	19.01	20	40	70	70	30	70	70	50	90	90	140	110	140	140	170	170	170	170	170	210	170	210	260	260	260	320	260	260	480	480	390	320	390	260	590	210	260	210	260	260	260	320	320	210	140	170	260	260
business dynamics	1300	Low	16	1.447222	8.993191	1300	1000	1000	1300	1000	1300	1300	1300	1300	1000	1300	1300	1300	1300	1300	1000	1000	1300	1300	1300	1600	1300	1600	1600	1600	1600	1600	1300	1300	1300	1600	1600	1300	1300	1600	1600	1600	1300	1300	1000	1000	1300	1600	1300	1000	1000	1300	1000
business dynamics systems thinking and modeling for a complex world	720	Low	27	0.57	4	480	390	480	390	480	590	590	590	590	390	590	590	590	480	480	480	480	590	720	590	480	480	720	590	590	590	590	590	480	590	720	590	590	480	590	590	720	720	720	590	590	720	720	720	720	590	880	880
business management course	40500	Medium	48	0.5037	5.542786	40500	49500	49500	60500	49500	49500	49500	40500	40500	33100	60500	40500	49500	40500	49500	49500	49500	49500	40500	40500	49500	40500	60500	49500	49500	60500	60500	49500	49500	49500	49500	40500	40500	40500	60500	49500	60500	49500	49500	40500	60500	40500	40500	33100	27100	27100	49500	33100
business management courses cape town	50	Medium	55	0.796474	2.582852	110	110	110	90	90	170	90	90	110	70	170	90	90	90	70	70	50	70	50	70	50	50	210	90	50	90	90	50	70	70	70	70	70	50	110	70	70	70	70	50	50	50	40	40	50	30	90	40
business management in service training	140	Low	27	0.64603	2.11328	90	50	90	70	140	110	110	110	110	50	210	140	110	70	140	110	110	110	90	90	90	30	170	140	70	90	70	90	210	170	170	110	90	50	390	170	170	110	210	170	210	210	90	70	50	70	260	170
business management online short courses	20	High	76	0.621314	3.507255	10	20	20	10	10	30	10	10	10	10	10	10	10	10	20	10	10	10	20	20	10	20	20	30	20	40	20	20	20	20	10	10	20	20	20	20	30	20	30	10	20	20	20	10	10	10	10	10
business management short courses	1300	Medium	55	0.398409	2.952296	1000	880	1000	1000	1000	1300	1000	1000	1000	880	1600	1000	1300	1300	1300	1300	1300	1300	1000	1300	1300	1000	1900	1900	1300	1600	1300	1000	1300	1000	1000	1000	1000	880	1600	1300	1300	1000	1300	1000	1300	1000	1300	1000	1000	880	1600	1300
business management training	720	Low	19	0.944565	10.328317	720	590	720	720	590	880	720	720	880	590	880	720	880	720	880	590	590	590	720	880	880	720	880	880	1300	1900	880	1900	1000	1000	1600	1300	720	720	880	880	1300	1000	880	720	590	590	880	590	390	390	590	880
business systems analyst courses	140	Medium	55	0.617008	6.54	170	140	110	140	170	170	140	170	170	140	170	210	260	210	260	140	170	140	210	170	110	140	210	170	170	170	170	170	590	590	210	140	140	140	140	140	140	110	140	110	140	90	210	140	90	90	140	140
business systems course	70	Medium	54	0.706246	6	70	30	50	50	110	140	90	110	110	90	90	70	110	90	140	90	90	110	90	50	70	40	70	50	70	90	140	90	90	90	90	70	50	70	70	90	90	110	110	70	110	40	110	50	40	40	90	50
business systems design	70	Low	7	0.33	14.69	140	110	140	110	110	140	140	90	170	110	170	140	210	110	90	70	90	90	90	110	110	70	110	110	110	110	110	110	90	90	90	90	90	90	70	110	110	90	90	50	70	70	70	70	70	70	70	70
call center management course	170	Low	19	0.69893	7.735313	260	260	210	260	210	390	260	260	170	170	260	260	210	210	210	210	210	170	210	260	210	170	320	210	210	210	170	210	210	210	210	170	110	170	260	320	260	260	210	170	110	170	170	170	110	110	170	170
can i learn it online	30	Low	32	0.09652	5.375635	20	20	30	20	30	10	20	20	10	20	20	20	20	20	30	20	30	30	30	50	20	40	30	30	30	30	20	20	30	20	30	20	30	20	30	30	30	20	20	20	20	30	30	20	10	30	30	50
capm certification	40500	Medium	61	0.5	5.299029	33100	27100	33100	33100	33100	33100	33100	27100	27100	27100	33100	33100	33100	33100	33100	33100	40500	40500	33100	33100	33100	33100	49500	40500	40500	40500	40500	33100	40500	33100	40500	40500	33100	33100	40500	40500	40500	40500	40500	40500	40500	33100	33100	33100	33100	33100	40500	33100
career essentials certificate by microsoft and linkedin	390	Low	9	0.47878	4.75	0	0	0	0	0	0	10	30	50	390	390	390	480	480	480	590	1900	1000	590	390	480	590	590	1900	1900	1300	1000	1600	1600	880	880	720	480	720	720	590	590	590	590	480	480	390	320	260	260	260	210	210
carnegie mellon software architecture certification	10	Low	11			10	10	10	10	10	10	10	10	20	10	10	30	10	10	10	10	10	10	20	10	20	20	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10
certificate course on business management	10	Medium	62			10	10	10	10	10	10	10	10	20	10	10	10	10	0	10	10	10	10	0	10	10	10	0	0	10	10	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
certificate courses	14800	Low	33	0.349144	2.6	12100	12100	14800	14800	14800	14800	12100	12100	12100	12100	14800	12100	14800	12100	14800	14800	14800	14800	14800	14800	12100	12100	18100	14800	14800	14800	18100	18100	18100	14800	12100	12100	12100	12100	18100	12100	14800	14800	14800	14800	14800	14800	14800	12100	12100	12100	14800	12100
certificate courses online	40500	Medium	63	0.376774	3.809781	22200	22200	27100	33100	33100	40500	33100	33100	33100	33100	40500	33100	40500	40500	49500	49500	49500	40500	40500	40500	40500	40500	49500	49500	49500	49500	49500	60500	60500	60500	40500	40500	49500	49500	49500	40500	49500	49500	49500	49500	49500	40500	40500	33100	33100	27100	33100	33100
certificate for project	90500	Low	2	0.472193	1.390012	135000	33100	40500	110000	60500	40500	60500	110000	135000	165000	246000	90500	33100	27100	74000	246000	135000	74000	90500	135000	201000	246000	301000	110000	40500	33100	90500	246000	110000	74000	90500	110000	165000	165000	246000	90500	40500	33100	74000	201000	110000	60500	60500	110000	110000	135000	165000	74000
certificate in project management	90500	High	69	1.717323	12	74000	74000	74000	74000	74000	90500	74000	74000	74000	74000	110000	90500	90500	90500	90500	90500	90500	110000	90500	90500	90500	110000	165000	135000	135000	135000	135000	135000	165000	135000	135000	135000	110000	90500	135000	110000	110000	110000	90500	90500	90500	90500	90500	90500	74000	74000	90500	74000
certificate in systems engineering	1000	Low	25	1.219729	7.177783	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1300	1600	1600	1600	1300	1600	1600	2400	1900	1600	1300	1600	1600	1600	1600	1300	1300	1300	1000	1000	1000	1000	1000	1000	880	880	1000	1900
certificate programs online	14800	Medium	53	3.08753	17.29957	9900	12100	12100	12100	12100	14800	12100	12100	12100	12100	18100	12100	14800	14800	18100	14800	14800	18100	14800	14800	14800	14800	18100	18100	18100	27100	18100	22200	22200	22200	22200	18100	14800	14800	22200	14800	18100	14800	14800	14800	18100	18100	18100	14800	14800	12100	14800	14800
certificates for engineering students	50	Medium	43	0.402448	1.868054	20	20	20	40	40	50	50	40	40	50	50	40	40	50	70	70	70	70	50	50	50	50	50	30	70	70	70	70	50	50	40	50	70	50	40	70	70	70	70	50	50	70	50	50	70	50	40	40
certification mit	1900	Low	27	1.05	6.040785	1900	1900	1900	1900	2900	3600	2900	1900	1900	1900	2400	1900	1900	1900	1900	1900	2900	3600	2900	2400	1900	1900	2400	2400	1900	1900	2400	1900	2400	2400	2400	2400	2400	2400	2400	1900	1900	1900	1900	1900	1900	2400	2400	1600	1600	1300	1900	1900
certified associate in project management capm	18100	Medium	36	0.619814	5.061898	9900	8100	8100	8100	8100	9900	8100	9900	8100	8100	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	12100	12100	12100	9900	12100	9900	12100	9900	12100	12100	12100	12100	18100	14800	18100	18100	18100	18100	14800	18100	22200	18100	14800	14800	18100	22200
cisco courses online	880	Medium	36	0.2	2.318759	1300	1000	1000	1000	1300	1600	1300	1000	1000	1000	1000	1000	1000	1000	1000	1300	1300	1300	1300	1600	1300	1300	1600	1600	1300	1300	1600	1000	1600	1600	1300	1300	1000	1000	1300	1000	1300	1000	880	880	880	1000	880	880	720	720	880	1300
class central	165000	Low	33	0.14	2.392983	60500	60500	49500	49500	49500	74000	90500	90500	110000	165000	201000	135000	165000	135000	301000	301000	246000	201000	165000	135000	165000	135000	135000	90500	135000	135000	165000	165000	165000	135000	165000	110000	90500	90500	90500	110000	110000	135000	135000	201000	165000	165000	165000	135000	110000	165000	135000	165000
class central certificate	9900	Medium	46	0.282256	4.197303	60500	33100	40500	90500	27100	49500	22200	18100	18100	18100	9900	9900	9900	12100	14800	14800	14800	12100	9900	6600	5400	5400	5400	4400	6600	5400	6600	14800	9900	6600	18100	8100	6600	4400	6600	8100	6600	5400	5400	6600	5400	6600	5400	27100	18100	18100	8100	8100
class central certificates	9900	Medium	46	0.282256	4.197303	60500	33100	40500	90500	27100	49500	22200	18100	18100	18100	9900	9900	9900	12100	14800	14800	14800	12100	9900	6600	5400	5400	5400	4400	6600	5400	6600	14800	9900	6600	18100	8100	6600	4400	6600	8100	6600	5400	5400	6600	5400	6600	5400	27100	18100	18100	8100	8100
clickup	1500000	Medium	39	0.328192	6.32	1000000	823000	823000	823000	823000	1000000	823000	1000000	823000	673000	1000000	1000000	1000000	823000	1000000	823000	823000	823000	823000	1000000	823000	673000	823000	1000000	1000000	1000000	1000000	823000	1000000	1000000	1000000	1220000	1000000	823000	1000000	1220000	1500000	1500000	1500000	1500000	1500000	1500000	1500000	1500000	1500000	1220000	1500000	1830000
cm certified manager	170	Medium	49	1.563718	7.306417	20	20	20	20	30	20	20	30	30	30	40	30	50	40	50	30	40	50	30	40	40	40	70	40	50	50	30	50	50	50	70	70	70	70	70	50	90	140	140	140	260	210	210	260	170	170	210	140
cmu software architecture	20	Low	13			30	50	30	30	30	30	30	40	30	50	70	90	50	40	30	30	50	50	50	30	50	40	50	110	40	30	50	30	30	30	30	40	40	30	40	30	30	20	20	20	10	20	20	20	20	10	20	10
codedamn courses	1300	Low	15	0.194478	1.24095	40	30	30	40	40	30	50	70	50	70	40	30	30	50	140	390	3600	4400	5400	4400	3600	4400	5400	4400	2400	1600	2400	2900	3600	2900	2400	2400	1900	2400	2400	1600	1600	1600	1600	1900	1900	1600	1300	1000	1000	1000	1000	90
coding certificate course	260	Low	21	0.330385	3.261731	390	320	390	480	590	480	480	320	210	320	260	210	210	210	260	320	320	320	210	260	260	320	390	320	210	260	320	390	260	210	170	170	110	170	320	260	390	320	390	170	320	170	260	260	210	210	320	320
coding classes online	22200	Medium	36	0.442673	10.338339	18100	18100	22200	22200	22200	22200	22200	18100	18100	18100	22200	18100	22200	22200	22200	22200	22200	18100	18100	18100	14800	18100	18100	14800	18100	18100	22200	22200	22200	18100	18100	14800	22200	22200	22200	18100	33100	27100	27100	22200	22200	18100	18100	14800	14800	14800	18100	14800
coding course	33100	Medium	38	0.333342	2.61414	22200	18100	27100	33100	40500	40500	40500	33100	27100	27100	33100	27100	33100	33100	33100	33100	33100	33100	27100	27100	27100	27100	33100	33100	33100	33100	40500	40500	40500	40500	40500	49500	49500	40500	40500	33100	40500	40500	49500	49500	40500	40500	40500	33100	27100	27100	27100	27100
coding courses online	22200	Medium	36	0.442673	10.338339	18100	18100	22200	22200	22200	22200	22200	18100	18100	18100	22200	18100	22200	22200	22200	22200	22200	18100	18100	18100	14800	18100	18100	14800	18100	18100	22200	22200	22200	18100	18100	14800	22200	22200	22200	18100	33100	27100	27100	22200	22200	18100	18100	14800	14800	14800	18100	14800
company secretary course	18100	Low	7	0.409971	2.386147	14800	14800	18100	22200	22200	18100	14800	12100	14800	12100	22200	18100	18100	18100	22200	22200	18100	18100	14800	12100	12100	14800	18100	18100	22200	22200	27100	27100	22200	22200	14800	12100	14800	14800	18100	18100	22200	22200	27100	18100	22200	18100	14800	12100	14800	14800	14800	12100
