Day,Keyword,Match type,Region,Cost,Clicks,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,llm_relevance_score
2022-06-11,energy and power engineering,Broad match,A,2.36,2,Saturday,1,Jun,0,107,Low,7.0,1.7,9.96,4.948759890378168,4.152395128935652,4.020516617247118,0.33085424431698973,0.08799620546539952,3
2022-06-11,modern enterprise architecture,Broad match,A,3.51,1,Saturday,1,Jun,0,107,Low,32.0,5.39,13.34,3.4339872044851463,3.6203771126312545,3.5458211493728107,0.2795848622191617,0.05591697244383218,3
2022-06-11,enterprise architecture system,Broad match,A,6.87,2,Saturday,1,Jun,0,107,Low,17.0,3.16,15.84,3.713572066704308,4.643306636380506,4.717642000166404,-0.19867069479548416,-0.06365710786568009,3
2022-06-11,computer systems engineering,Broad match,A,0.26,1,Saturday,1,Jun,0,107,Low,9.0,4.09,16.17,6.78105762593618,6.866189061522206,6.883215348639412,-0.12769715337904053,-0.025539430675808113,3
2022-06-11,mbse training,Broad match,A,1.53,1,Saturday,1,Jun,0,107,Medium,61.0,2.59,7.15,3.9318256327243257,4.643306636380506,4.514255148635636,-0.19867069479548416,0.11580677475850455,4
2022-06-11,system engineering training,Exact match,A,1.36,1,Saturday,1,Jun,0,107,High,77.0,2.84,9.17,3.9318256327243257,5.281793274484932,5.10073398302906,0.21019457697340638,0.12383298413861227,4
2022-06-11,msc engineering,Broad match,A,7.73,5,Saturday,1,Jun,0,107,Low,6.0,3.98,16.2,5.14166355650266,5.564520407322694,5.479455497784043,0.0,0.06379868215398798,3
2022-06-11,ms engineer,Broad match,A,4.56,2,Saturday,1,Jun,0,107,Low,3.0,3.07,8.06,4.948759890378168,5.077362334461163,5.064502090052864,-0.19290366612449183,-0.01929036661244942,3
2022-06-11,mit systems engineering,Broad match,A,1.68,1,Saturday,1,Jun,0,107,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-11,engineering masters uk,Broad match,A,1.26,1,Saturday,1,Jun,0,107,Low,32.0,1.2,3.85,3.044522437723423,4.428132963358339,4.411587654726636,0.2481796294755343,1.621584518530165e-16,5
2022-06-11,mit systems engineering masters,Broad match,A,2.52,3,Saturday,1,Jun,0,107,Medium,60.0,4.27,17.3,3.713572066704308,2.828980049415072,2.9930899580907573,0.6466271649250523,-0.14255566984485002,5
2022-06-11,computer systems engineering,Exact match,B,1.32,1,Saturday,1,Jun,0,107,Low,9.0,4.09,16.17,6.78105762593618,6.866189061522206,6.883215348639412,-0.12769715337904053,-0.025539430675808113,3
2022-06-11,computer systems engineering,Broad match,B,0.16,1,Saturday,1,Jun,0,107,Low,9.0,4.09,16.17,6.78105762593618,6.866189061522206,6.883215348639412,-0.12769715337904053,-0.025539430675808113,3
2022-06-11,mit systems engineering,Broad match,B,2.87,2,Saturday,1,Jun,0,107,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-11,mit systems engineering,Exact match,B,4.9,1,Saturday,1,Jun,0,107,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-11,mit systems engineering masters,Broad match,B,2.43,2,Saturday,1,Jun,0,107,Medium,60.0,4.27,17.3,3.713572066704308,2.828980049415072,2.9930899580907573,0.6466271649250523,-0.14255566984485002,5
2022-06-11,mit system engineering,Exact match,B,16.2,2,Saturday,1,Jun,0,107,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-11,system engineering education,Broad match,B,3.69,1,Saturday,1,Jun,0,107,Medium,50.0,3.75,9.14,3.044522437723423,3.7658794899779324,3.7326902614286537,0.49783842823917945,0.0,4
2022-06-11,engineering study,Phrase match,B,4.13,4,Saturday,1,Jun,0,107,Low,23.0,4.71,15.24,5.771441123130016,5.702467551194242,5.769510267339621,0.20692071580732208,-0.06014535895180163,3
2022-06-11,online computer engineering degree,Broad match,B,0.82,1,Saturday,1,Jun,0,107,High,73.0,9.89,55.0,6.78105762593618,6.90875477931522,6.883215348639412,0.0,0.012769715337903408,4
2022-06-11,mit online,Broad match,B,9.15,12,Saturday,1,Jun,0,107,Medium,54.0,2.89,9.12,6.3818160174060985,6.781057625936181,6.806597056611987,0.0,-0.025539430675808113,4
2022-06-11,mit course ware,Broad match,B,5.05,3,Saturday,1,Jun,0,107,Low,8.0,2.64,9.19,10.407318772389159,10.007892611890918,10.047779270823932,0.0,-0.039886658933015844,5
2022-06-11,mit ocw courses,Broad match,B,5.56,3,Saturday,1,Jun,0,107,Low,8.0,2.64,9.19,10.407318772389159,10.007892611890918,10.047779270823932,0.0,-0.039886658933015844,4
2022-06-11,online engineering degree courses,Phrase match,B,0.45,1,Saturday,1,Jun,0,107,Low,21.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,8.107922592650825e-17,5
2022-06-11,.mit courses,Broad match,B,10.87,11,Saturday,1,Jun,0,107,Low,20.0,2.31,6.74,7.972810784121404,7.972810784121404,8.097116507415702,0.0,-0.12430572329429838,5
2022-06-11,embedded programming,Broad match,USA,2.11,1,Saturday,1,Jun,0,107,Low,11.0,1.72,8.66,6.3818160174060985,6.823623343729193,6.832136487287795,0.0,-0.025539430675808113,3
2022-06-11,aircraft engineering,Broad match,USA,0.94,1,Saturday,1,Jun,0,107,Low,11.0,2.58,12.18,7.170888478512505,6.90875477931522,6.961181519154678,0.0,-0.0524267398394569,3
2022-06-11,marine propulsion engine,Broad match,USA,0.61,1,Saturday,1,Jun,0,107,Low,8.0,0.0,0.0,3.9318256327243257,2.613437661106721,2.6565461387683915,-0.6466271649250523,8.107922592650825e-17,3
2022-06-11,aerospace and engineering,Broad match,USA,4.53,1,Saturday,1,Jun,0,107,Low,1.0,0.86,7.5,6.78105762593618,6.58063913728495,6.540874513309179,0.0,0.01988231198788478,3
2022-06-11,embedded engineering,Broad match,USA,2.18,1,Saturday,1,Jun,0,107,Low,10.0,1.57,10.44,6.580639137284949,6.58063913728495,6.580639137284949,0.0,3.24316903706033e-16,3
2022-06-11,mit systems engineering masters,Broad match,USA,4.43,1,Saturday,1,Jun,0,107,Medium,60.0,4.27,17.3,3.713572066704308,2.828980049415072,2.9930899580907573,0.6466271649250523,-0.14255566984485002,5
2022-06-11,mit model based systems engineering certification,Exact match,USA,4.58,1,Saturday,1,Jun,0,107,Medium,57.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,8.107922592650825e-17,5
2022-06-11,mitx systems engineering,Exact match,USA,2.18,1,Saturday,1,Jun,0,107,Medium,57.0,2.37,12.98,2.3978952727983707,2.613437661106721,2.6565461387683915,0.0,-0.1293254329850105,5
2022-06-11,model based systems engineering course,Broad match,USA,4.27,1,Saturday,1,Jun,0,107,High,82.0,2.83,8.0,3.713572066704308,4.643306636380506,4.3587142349180334,0.0,0.23331137057640272,4
2022-06-11,model based systems engineering course,Exact match,USA,4.27,1,Saturday,1,Jun,0,107,High,82.0,2.83,8.0,3.713572066704308,4.643306636380506,4.3587142349180334,0.0,0.23331137057640272,4
2022-06-12,electrical engineering degree,Broad match,A,2.59,3,Sunday,1,Jun,0,106,Medium,51.0,4.08,26.03,8.38958706681109,8.188966863648876,8.145735647743383,0.0,0.02161560795274698,5
2022-06-12,electrical engineering program,Broad match,A,0.43,1,Sunday,1,Jun,0,106,Medium,59.0,4.24,23.27,4.948759890378168,4.948759890378168,4.853068014751836,0.0,0.07176890671975045,5
2022-06-12,online computer engineering degree,Broad match,A,4.29,2,Sunday,1,Jun,0,106,High,73.0,9.89,55.0,6.78105762593618,6.90875477931522,6.883215348639412,0.0,0.012769715337903408,4
2022-06-12,university undergraduate courses,Phrase match,A,0.49,1,Sunday,1,Jun,0,106,Low,14.0,0.0,0.0,2.3978952727983707,2.613437661106721,2.527220705783381,0.0,1.621584518530165e-16,4
2022-06-12,electrical university,Broad match,A,1.62,2,Sunday,1,Jun,0,106,High,84.0,1.21,32.23,4.51085950651685,4.789273431000946,4.628271935312201,0.0,0.08441917138619903,5
2022-06-12,online certificate courses in engineering,Broad match,A,3.02,1,Sunday,1,Jun,0,106,Medium,49.0,4.48,21.42,3.713572066704308,3.1743440266439973,3.2003083444281124,-0.38946476676172326,-0.03894647667617258,5
2022-06-12,mbse course,Broad match,A,2.44,2,Sunday,1,Jun,0,106,High,82.0,2.83,8.0,3.713572066704308,4.643306636380506,4.3587142349180334,0.0,0.23331137057640272,4
2022-06-12,cloud computing architecture,Broad match,A,3.94,2,Sunday,1,Jun,0,106,Low,23.0,3.56,10.82,5.351858133476067,6.690542807552499,6.646581339445478,-0.3992416085300814,-0.019722775110647326,3
2022-06-12,mechatronic systems engineering,Broad match,A,3.77,3,Sunday,1,Jun,0,106,Low,1.0,0.0,0.0,2.3978952727983707,3.6203771126312545,3.6017381218166435,-0.2795848622191617,-0.027958486221916174,3
2022-06-12,energy and power engineering,Broad match,A,0.4,1,Sunday,1,Jun,0,106,Low,7.0,1.7,9.96,4.948759890378168,4.152395128935652,4.020516617247118,0.33085424431698973,0.08799620546539952,3
2022-06-12,modern enterprise architecture,Broad match,A,1.93,1,Sunday,1,Jun,0,106,Low,32.0,5.39,13.34,3.4339872044851463,3.6203771126312545,3.5458211493728107,0.2795848622191617,0.05591697244383218,3
2022-06-12,system engineering training,Broad match,A,4.38,2,Sunday,1,Jun,0,106,High,77.0,2.84,9.17,3.9318256327243257,5.281793274484932,5.10073398302906,0.21019457697340638,0.12383298413861227,4
2022-06-12,system engineering training course,Broad match,A,3.94,1,Sunday,1,Jun,0,106,Medium,51.0,3.53,8.78,2.3978952727983707,2.3978952727983707,2.527220705783381,0.0,-0.1293254329850105,5
2022-06-12,msc engineering,Broad match,A,0.48,1,Sunday,1,Jun,0,106,Low,6.0,3.98,16.2,5.14166355650266,5.564520407322694,5.479455497784043,0.0,0.06379868215398798,3
2022-06-12,ms engineer,Broad match,A,0.16,1,Sunday,1,Jun,0,106,Low,3.0,3.07,8.06,4.948759890378168,5.077362334461163,5.064502090052864,-0.19290366612449183,-0.01929036661244942,3
2022-06-12,mit systems engineering,Broad match,A,7.05,2,Sunday,1,Jun,0,106,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-12,mit systems engineering,Exact match,A,1.5,1,Sunday,1,Jun,0,106,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-12,engineering masters uk,Broad match,A,0.58,1,Sunday,1,Jun,0,106,Low,32.0,1.2,3.85,3.044522437723423,4.428132963358339,4.411587654726636,0.2481796294755343,1.621584518530165e-16,5
2022-06-12,mit systems engineering masters,Broad match,A,4.12,4,Sunday,1,Jun,0,106,Medium,60.0,4.27,17.3,3.713572066704308,2.828980049415072,2.9930899580907573,0.6466271649250523,-0.14255566984485002,5
2022-06-12,mit architecture and systems engineering,Broad match,A,7.23,6,Sunday,1,Jun,0,106,Medium,49.0,2.51,15.17,3.044522437723423,3.3973605696376254,3.3900352426681217,-0.38946476676172326,-0.09486344912000493,4
2022-06-12,mit systems engineering masters,Exact match,A,3.47,1,Sunday,1,Jun,0,106,Medium,60.0,4.27,17.3,3.713572066704308,2.828980049415072,2.9930899580907573,0.6466271649250523,-0.14255566984485002,5
2022-06-12,mit systems architecture,Broad match,A,0.86,1,Sunday,1,Jun,0,106,Medium,63.0,2.97,11.89,2.3978952727983707,2.613437661106721,2.6565461387683915,0.6466271649250523,8.107922592650825e-17,4
2022-06-12,computer systems engineering,Broad match,B,4.32,3,Sunday,1,Jun,0,106,Low,9.0,4.09,16.17,6.78105762593618,6.866189061522206,6.883215348639412,-0.12769715337904053,-0.025539430675808113,3
2022-06-12,mit systems engineering,Broad match,B,0.42,1,Sunday,1,Jun,0,106,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-12,mit systems engineering,Exact match,B,1.02,2,Sunday,1,Jun,0,106,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-12,mit architecture and systems engineering,Broad match,B,0.64,4,Sunday,1,Jun,0,106,Medium,49.0,2.51,15.17,3.044522437723423,3.3973605696376254,3.3900352426681217,-0.38946476676172326,-0.09486344912000493,4
2022-06-12,system engineering education,Broad match,B,0.47,1,Sunday,1,Jun,0,106,Medium,50.0,3.75,9.14,3.044522437723423,3.7658794899779324,3.7326902614286537,0.49783842823917945,0.0,4
2022-06-12,engineering study,Phrase match,B,1.03,1,Sunday,1,Jun,0,106,Low,23.0,4.71,15.24,5.771441123130016,5.702467551194242,5.769510267339621,0.20692071580732208,-0.06014535895180163,3
2022-06-12,online computer engineering degree,Broad match,B,10.05,7,Sunday,1,Jun,0,106,High,73.0,9.89,55.0,6.78105762593618,6.90875477931522,6.883215348639412,0.0,0.012769715337903408,4
2022-06-12,mit online,Broad match,B,6.43,7,Sunday,1,Jun,0,106,Medium,54.0,2.89,9.12,6.3818160174060985,6.781057625936181,6.806597056611987,0.0,-0.025539430675808113,4
2022-06-12,mit ocw courses,Broad match,B,16.34,8,Sunday,1,Jun,0,106,Low,8.0,2.64,9.19,10.407318772389159,10.007892611890918,10.047779270823932,0.0,-0.039886658933015844,4
2022-06-12,online certification courses for engineering,Broad match,B,14.39,8,Sunday,1,Jun,0,106,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2022-06-12,.mit courses,Broad match,B,13.77,12,Sunday,1,Jun,0,106,Low,20.0,2.31,6.74,7.972810784121404,7.972810784121404,8.097116507415702,0.0,-0.12430572329429838,5
2022-06-12,system engineering training,Broad match,B,2.04,1,Sunday,1,Jun,0,106,High,77.0,2.84,9.17,3.9318256327243257,5.281793274484932,5.10073398302906,0.21019457697340638,0.12383298413861227,4
2022-06-12,system engineering training course,Broad match,B,3.18,4,Sunday,1,Jun,0,106,Medium,51.0,3.53,8.78,2.3978952727983707,2.3978952727983707,2.527220705783381,0.0,-0.1293254329850105,5
2022-06-12,linux engineer,Broad match,USA,4.02,2,Sunday,1,Jun,0,106,Low,6.0,0.97,16.08,5.564520407322694,5.633493979258468,5.647288693645622,0.0,-0.0413841431614645,3
2022-06-12,aviation engineer,Broad match,USA,1.21,1,Sunday,1,Jun,0,106,Low,16.0,2.43,13.01,7.170888478512505,6.90875477931522,6.9087547793152195,0.0,1.621584518530165e-16,3
2022-06-12,embedded systems engineering,Broad match,USA,2.64,2,Sunday,1,Jun,0,106,Low,12.0,1.27,8.12,7.3783837129967145,6.823623343729193,6.832136487287795,0.0,-0.025539430675808113,3
2022-06-12,aerospace and engineering,Broad match,USA,2.14,2,Sunday,1,Jun,0,106,Low,1.0,0.86,7.5,6.78105762593618,6.58063913728495,6.540874513309179,0.0,0.01988231198788478,3
2022-06-12,mit system engineering,Broad match,USA,2.35,2,Sunday,1,Jun,0,106,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-12,mit systems engineering,Exact match,USA,3.83,1,Sunday,1,Jun,0,106,Medium,46.0,2.69,10.75,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,4
2022-06-12,mit systems engineering certificate,Broad match,USA,2.74,1,Sunday,1,Jun,0,106,High,75.0,2.4,9.08,3.9318256327243257,4.51085950651685,4.51085950651685,0.0,0.0,5
2022-06-12,mit architecture and systems engineering,Exact match,USA,0.05,1,Sunday,1,Jun,0,106,Medium,49.0,2.51,15.17,3.044522437723423,3.3973605696376254,3.3900352426681217,-0.38946476676172326,-0.09486344912000493,4
2022-06-12,mitx systems engineering,Exact match,USA,2.23,1,Sunday,1,Jun,0,106,Medium,57.0,2.37,12.98,2.3978952727983707,2.613437661106721,2.6565461387683915,0.0,-0.1293254329850105,5
2022-06-12,sysml training,Broad match,USA,4.35,2,Sunday,1,Jun,0,106,Medium,62.0,1.63,5.06,4.2626798770413155,4.574099757978778,4.449531805603793,0.4379003838613187,0.16203396561492447,4
2022-06-12,control systems course,Broad match,USA,3.5,1,Sunday,1,Jun,0,106,Low,18.0,2.13,5.94,4.709530201312334,4.345406420199827,4.36195172883153,-0.2481796294755343,-0.024817962947553476,4
2022-06-13,electrical engineering degree,Broad match,A,10.2,7,Monday,0,Jun,0,105,Medium,51.0,4.08,26.03,8.38958706681109,8.188966863648876,8.145735647743383,0.0,0.02161560795274698,5
2022-06-13,electrical engineering program,Broad match,A,2.6,3,Monday,0,Jun,0,105,Medium,59.0,4.24,23.27,4.948759890378168,4.948759890378168,4.853068014751836,0.0,0.07176890671975045,5
2022-06-13,electrical engineering programs,Broad match,A,2.1,3,Monday,0,Jun,0,105,Medium,59.0,4.24,23.27,4.948759890378168,4.948759890378168,4.853068014751836,0.0,0.07176890671975045,4
2022-06-13,online computer engineering degree,Broad match,A,12.1,4,Monday,0,Jun,0,105,High,73.0,9.89,55.0,6.78105762593618,6.90875477931522,6.883215348639412,0.0,0.012769715337903408,4
2022-06-13,courses at university,Phrase match,A,5.84,5,Monday,0,Jun,0,105,Low,25.0,2.59,12.46,6.175867270105761,6.3818160174060985,6.340626267946031,0.0,0.020594874730033918,4
2022-06-13,university undergraduate courses,Phrase match,A,3.64,3,Monday,0,Jun,0,105,Low,14.0,0.0,0.0,2.3978952727983707,2.613437661106721,2.527220705783381,0.0,1.621584518530165e-16,4
2022-06-13,electrical university,Broad match,A,1.47,1,Monday,0,Jun,0,105,High,84.0,1.21,32.23,4.51085950651685,4.789273431000946,4.628271935312201,0.0,0.08441917138619903,5
2022-06-13,online certificate courses in engineering,Broad match,A,4.08,2,Monday,0,Jun,0,105,Medium,49.0,4.48,21.42,3.713572066704308,3.1743440266439973,3.2003083444281124,-0.38946476676172326,-0.03894647667617258,5
2022-06-13,mbse course,Broad match,A,10.98,3,Monday,0,Jun,0,105,High,82.0,2.83,8.0,3.713572066704308,4.643306636380506,4.3587142349180334,0.0,0.23331137057640272,4
2022-06-13,system engineering education,Broad match,A,8.64,5,Monday,0,Jun,0,105,Medium,50.0,3.75,9.14,3.044522437723423,3.7658794899779324,3.7326902614286537,0.49783842823917945,0.0,4
2022-06-13,systems engineer education requirements,Broad match,A,0.91,1,Monday,0,Jun,0,105,Low,17.0,2.24,11.08,3.713572066704308,3.8966080034833106,3.8670443419757126,0.5491078103370075,0.08799620546539952,4
2022-06-13,engineering study,Phrase match,A,8.23,7,Monday,0,Jun,0,105,Low,23.0,4.71,15.24,5.771441123130016,5.702467551194242,5.769510267339621,0.20692071580732208,-0.06014535895180163,3
2022-06-13,system engineering education,Exact match,A,1.81,1,Monday,0,Jun,0,105,Medium,50.0,3.75,9.14,3.044522437723423,3.7658794899779324,3.7326902614286537,0.49783842823917945,0.0,4
2022-06-13,cloud computing architecture,Broad match,A,8.55,6,Monday,0,Jun,0,105,Low,23.0,3.56,10.82,5.351858133476067,6.690542807552499,6.646581339445478,-0.3992416085300814,-0.019722775110647326,3
2022-06-13,mechatronic systems engineering,Broad match,A,2.03,1,Monday,0,Jun,0,105,Low,1.0,0.0,0.0,2.3978952727983707,3.6203771126312545,3.6017381218166435,-0.2795848622191617,-0.027958486221916174,3
2022-06-13,computer systems engineering,Broad match,A,3.1,2,Monday,0,Jun,0,105,Low,9.0,4.09,16.17,6.78105762593618,6.866189061522206,6.883215348639412,-0.12769715337904053,-0.025539430675808113,3
2022-06-13,modern enterprise architecture,Broad match,A,1.34,1,Monday,0,Jun,0,105,Low,32.0,5.39,13.34,3.4339872044851463,3.6203771126312545,3.5458211493728107,0.2795848622191617,0.05591697244383218,3
2022-06-13,mbse training,Broad match,A,10.73,1,Monday,0,Jun,0,105,Medium,61.0,2.59,7.15,3.9318256327243257,4.643306636380506,4.514255148635636,-0.19867069479548416,0.11580677475850455,4
